Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Haifa,2381,673,55414,64202,2000,2002,2005,2006,619,934,1166,1193,69,157,180,187,22,49,34,35,8415.4,648795,661252,48378846,135276533,160278202,20319,66917,80336
Ashdod,1666,566,32892,38128,2000,2003,2007,2007,641,1166,920,1003,71,167,179,217,23,54,42,45,4670.7,359896,366806,28040081,79787777,96819349,16831,58291,70611
Eilat,257,189,21627,20826,2005,2006,2006,2007,1429,2132,2398,2020,206,214,344,354,21,50,37,46,2022.3,153994,156950,10797923,35504107,42469110,42015,166284,200053
Ashkelon,90,48,4309,7974,2007,2008,2009,2009,478,1220,1232,1273,56,164,241,245,44,43,46,43,487.3,37702,38426,2723196,6743368,7609125,30258,99064,120542
Hadera,47,38,7827,13770,2011,2011,2011,2012,2007,2372,2291,2291,177,242,314,326,12,32,37,39,516.8,37912,38640,3002420,7974962,8681338,63881,243350,302661
Akko,10,10,258,347,2006,2006,2006,2006,682,733,720,738,66,83,104,103,16,20,25,24,41.6,3220,3282,230869,692198,776500,23087,77180,90116
Gush Halav,7,2,18,5,1987,1986,1986,1986,147,731,203,209,9,106,87,91,12,24,33,33,5.1,386,393,5224,23032,26673,746,2837,3053
Binyamina-Giv'At Ada,4,4,18,29,1986,1986,1992,1992,317,358,517,521,42,59,65,63,20,188,23,19,4.2,318,324,70514,151462,174780,17628,44683,52178
Caesarea,4,3,2,1,1976,1976,1974,1975,293,622,372,313,138,232,301,223,235,271,228,270,3.5,265,270,27701,64797,85151,6925,17650,23473
Kfar Vitkin,1,1,1,2,1985,1985,1985,1985,293,293,293,293,31,31,31,31,14,14,14,14,0.2,17,18,3078,9029,12452,3078,12331,15548
Ofra,1,1,118,208,2012,2012,2012,2012,3712,3712,3712,3712,494,494,494,494,96,96,96,96,8.9,686,699,92964,183992,228209,92964,296780,345062
Karmei Yosef,1,1,0,0,2013,2013,2013,2013,894,894,894,894,275,275,275,275,428,428,428,428,0.9,68,69,2277,5385,7210,2277,5880,7939
Acre,1,1,67,108,2000,2000,2000,2000,2887,2887,2887,2887,237,237,237,237,61,61,61,61,11.4,881,898,20835,152581,175923,20835,179920,221175
Magshimim,1,1,15,24,2007,2007,2007,2007,512,512,512,512,200,200,200,200,79,79,79,79,4.3,335,342,4626,33875,39058,4626,39945,49104
Tiberias,1,1,110,139,1993,1993,1993,1993,5975,5975,5975,5975,479,479,479,479,5,5,5,5,18.9,1458,1486,104897,303903,335607,104897,574306,755226
