Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Turkey,1755,618,20921,24530,1999,2001,2006,2006,562,688,682,664,64,123,93,101,25,54,46,44,3336.8,256665,261593,19413383,57567736,69693185,11062,39200,48136
Cyprus,634,110,1932,1938,1997,1997,1995,1997,181,483,280,309,20,120,150,184,20,59,30,36,578.3,44120,44967,3418244,8800012,10672098,5392,16733,20504
Egypt,514,218,5261,5425,2004,2003,2005,2006,315,406,386,387,30,72,54,61,30,67,41,47,1030.6,79384,80908,4320961,12785727,15055353,8407,28295,33826
Greece,461,222,6827,7570,1999,2000,2005,2006,698,818,762,788,75,186,116,138,20,36,33,38,1050.1,80812,82364,5623515,16729250,21079177,12199,44300,54842
Italy,186,106,11855,11969,2005,2005,2008,2009,1409,1529,1418,1433,124,168,142,147,20,45,40,48,1422.5,109961,112072,6925393,20408568,24576060,37233,137533,166286
Spain,165,85,16128,19137,2005,2006,2005,2006,1809,2072,1810,1815,131,208,137,141,23,53,34,34,1868.4,143903,146666,11521247,31028377,35867329,69826,226301,266299
Slovenia,106,27,3732,3521,2002,2004,2006,2007,1348,1380,1370,1372,98,109,96,96,13,37,36,39,567.2,43737,44577,2582391,8318861,9799430,24362,92128,112096
Gibraltar,74,60,8225,13982,2010,2010,2010,2010,2056,2080,2082,2069,189,267,245,252,12,13,13,14,616.9,45250,46119,3608753,9530442,10671698,48767,186471,232708
France,64,18,1376,1789,2005,2005,2005,2005,1610,1875,1676,1699,115,178,150,158,11,32,25,29,277.1,21371,21781,2171365,6423408,7347654,33928,107538,125875
Malta,50,38,1614,2135,2005,2006,2009,2009,1053,1197,1218,1227,111,173,170,190,11,22,31,34,198.1,14778,15062,1027260,3223515,3862506,20545,83110,105486
India,47,39,3908,6075,2007,2008,2009,2009,3202,3366,3404,3361,288,302,304,310,33,57,57,61,470.2,36368,37067,2928258,7996447,9808333,62303,226598,276638
Malaysia,47,29,11106,12236,2007,2007,2007,2007,5115,5053,5094,5095,369,353,365,370,12,16,13,14,1222.0,94641,96458,9919971,26690518,29995741,211063,614668,704380
Singapore,36,26,6678,5868,2004,2005,2002,2005,5000,5070,5061,5102,420,442,393,442,8,12,10,12,496.1,38402,39140,3359204,10582859,13108739,93311,350913,411732
United Kingdom of Great Britain and Northern Ireland,33,15,4516,5099,2006,2005,2007,2007,3535,3409,3477,3453,290,300,279,281,28,35,35,35,997.5,76943,78421,3978708,10655021,12107420,120567,361469,420371
Portugal,33,17,446,576,1993,2000,1999,2000,2348,2401,2367,2368,263,246,245,251,57,72,78,77,108.4,8284,8443,891138,2598469,3548362,27004,94806,126004
Saudi Arabia,27,16,1292,2194,2003,2006,2002,2001,664,726,801,823,148,132,248,267,23,26,25,25,142.8,11063,11275,857302,1981374,2268294,31752,96619,117195
Jordan,27,26,274,261,2007,2008,2009,2009,191,285,281,223,54,60,67,78,27,44,28,33,49.3,3802,3875,182361,550161,647717,6754,24888,29509
Croatia,25,7,134,175,1978,1983,1982,1985,1316,1227,1222,1209,144,158,178,189,51,63,66,70,28.2,2125,2166,303037,866520,1257063,12121,41673,58960
Netherlands,22,19,1049,1714,2007,2007,2008,2008,3469,3450,3453,3455,322,364,375,375,26,30,37,38,185.3,14234,14508,1115271,3080763,3958763,50694,185068,224765
Ukraine,18,18,400,645,2008,2008,2010,2010,1283,1288,1295,1297,132,185,190,188,42,68,92,95,50.9,3919,3994,314371,771551,1036160,17465,65849,81851
Djibouti,16,14,509,751,2007,2007,2008,2008,1231,1265,1284,1281,108,133,138,143,12,27,31,34,61.8,4779,4871,403091,1005224,1289403,25193,90487,109099
Russian Federation,15,13,811,1340,2002,2002,2008,2009,1473,1632,2225,2400,225,284,342,357,80,151,172,183,90.5,6948,7082,408108,1236259,1497213,27207,117263,145891
Sri Lanka,10,10,1436,1935,2006,2006,2006,2006,3708,3643,3675,3657,290,304,287,292,12,24,16,17,144.0,11149,11364,1295297,3191816,3742715,129530,390219,455649
United States of America,9,9,2366,3740,2008,2008,2010,2010,6834,6668,6563,6656,915,772,743,786,99,101,76,80,230.9,17807,18149,1075723,3046650,3654609,119525,501735,612848
Brazil,8,8,1168,1985,2009,2009,2008,2008,5329,5506,5508,5499,610,627,657,659,42,54,60,59,106.4,8232,8390,809007,1779350,2215875,101126,364681,437573
Lebanon,7,2,19,9,1989,1993,1992,1995,147,220,172,213,9,16,15,19,12,14,24,21,4.2,323,329,8521,34655,39770,1217,4930,5779
Romania,5,5,66,101,1994,1994,2004,2006,1096,1197,1117,1105,246,237,281,286,43,82,143,153,10.2,785,800,74387,188204,260493,14877,52595,67745
Indonesia,5,5,781,738,1996,1996,1996,1999,4942,4383,5300,5144,418,410,529,478,13,21,19,25,49.7,3850,3924,341262,1267682,1549543,68252,284402,332226
Bulgaria,5,5,70,116,1997,1997,2008,2008,1060,1180,1086,1089,185,184,150,149,169,169,221,218,9.7,749,763,78943,186768,248605,15789,52671,66016
Tunisia,5,5,93,138,2009,2009,2009,2009,1298,1105,873,950,107,187,170,179,13,49,63,65,16.0,1231,1255,101197,267784,341780,20239,70670,85535
United Arab Emirates,4,4,706,1204,2012,2012,2013,2013,3098,3075,3169,3187,328,354,408,430,30,46,60,64,64.6,5004,5100,556605,1311788,1463639,139151,398422,478334
Japan,4,4,922,342,2006,2006,2007,2005,7810,6076,7404,6314,502,400,520,513,26,25,22,28,74.7,5755,5865,528888,1706148,1957609,132222,386350,417036
Syrian Arab Republic,4,4,3,5,1989,1989,1986,1986,234,232,235,234,162,170,184,180,4,4,5,5,1.9,144,147,8914,26006,36233,2229,8514,11056
Thailand,3,3,670,312,2003,2003,2003,2003,5780,5792,5786,5788,390,402,368,403,16,28,16,29,47.7,3693,3764,249893,1028417,1240402,83298,330242,370921
Oman,3,3,237,113,2009,2009,2008,2011,2004,2200,2108,2519,129,185,167,286,10,15,13,24,44.2,3427,3493,91873,496542,654441,30624,159627,188608
China,3,3,349,103,2004,2004,2008,2007,1447,2924,3981,1677,201,231,470,434,26,126,326,292,28.7,2218,2261,110796,456738,540221,36932,140694,156060
"Korea, Republic of",3,3,492,193,2005,2005,2009,2009,911,3141,7215,4829,95,224,480,459,40,56,40,39,30.1,2333,2378,198372,849651,985449,66124,247814,268410
Denmark,3,3,355,598,2012,2012,2013,2013,4290,4200,4275,4313,431,443,401,406,4,4,3,3,38.0,2921,2977,196683,615981,809067,65561,314462,402738
Viet Nam,3,3,746,961,2009,2009,2008,2008,5783,5824,5891,5875,420,413,396,400,63,117,75,84,93.7,7256,7396,694288,1779424,2075653,231429,697346,816459
Libya,2,2,185,221,1998,1998,1999,2001,1798,1798,1785,1748,137,137,134,124,32,32,34,37,15.9,1228,1252,130259,349144,392630,65129,181816,216524
Algeria,2,2,11,13,1986,1986,1985,1988,1869,1869,1834,1876,227,227,220,234,7,7,7,7,3.2,244,249,41838,120025,172485,20919,68186,98069
Sudan,2,2,59,21,2002,2002,2008,2006,959,959,867,888,96,96,84,87,117,117,36,60,4.0,303,309,32000,116288,147560,16000,56457,70261
Panama,2,2,12,18,1994,1994,1992,1992,3178,3178,472,481,429,429,490,498,36,36,35,35,2.9,221,225,34491,105476,148528,17246,60151,85191
Australia,2,1,126,77,2010,2010,2010,2010,4844,4844,4844,4844,354,354,391,391,56,56,50,50,26.4,2040,2079,131408,385470,531588,65704,263227,331899
Belgium,2,2,169,257,2010,2010,2010,2010,3429,3429,3430,3431,296,296,297,297,182,182,183,184,25.5,1952,1989,74972,330229,434344,37486,229291,289435
New Zealand,1,1,7,10,2006,2006,2006,2006,256,256,256,256,25,25,25,25,8,8,8,8,0.9,67,68,8125,29273,31779,8125,29347,34257
Montenegro,1,1,3,4,1982,1982,1982,1982,1210,1210,1210,1210,145,145,145,145,60,60,60,60,0.8,60,61,11788,33817,48598,11788,38423,55263
"Tanzania, United Republic of",1,1,8,9,2009,2009,2009,2009,222,222,222,222,30,30,30,30,4,4,4,4,0.9,73,75,7384,19647,22067,7384,21614,24997
Kenya,1,1,55,65,2009,2009,2009,2009,1537,1537,1537,1537,126,126,126,126,10,10,10,10,6.7,518,528,51134,136045,152804,51134,149670,173096
Colombia,1,1,552,1080,2017,2017,2017,2017,5896,5896,5896,5896,432,432,432,432,72,72,72,72,31.3,2428,2474,242911,481837,554853,242911,688275,794858
Pakistan,1,1,20,31,2012,2012,2012,2012,3136,3136,3136,3136,259,259,259,259,4,4,4,4,4.0,311,316,52389,153676,211929,52389,209882,264638
Gabon,1,1,171,272,2007,2007,2007,2007,7073,7073,7073,7073,591,591,591,591,301,301,301,301,32.0,2476,2523,52390,383667,442360,52390,452412,556148
Seychelles,1,1,17,20,1990,1990,1990,1990,3348,3348,3348,3348,259,259,259,259,416,416,416,416,13.3,1008,1028,60809,132871,149667,60809,129584,139912
