int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1301,945,2010,2010,2010,2010,60994368690,107595924810,550,1466,1420,1423,5391,417304
General cargo,923,340,1992,2002,2005,2005,9728581006,12824570076,409,1208,1203,1178,1818,139569
Ro-Ro,563,44,1994,1998,2009,2009,10028699118,7118930663,361,1926,982,1046,1785,137308
Oil tanker,2734,1110,2008,2009,2009,2009,1136186125189,2168082560184,2278,3474,3792,3825,74498,5767368
Vehicle,525,266,2008,2008,2008,2008,50114375233,16933872780,1202,1628,1597,1590,3034,234983
Chemical tanker,1522,618,2009,2010,2010,2010,68600877209,111116196631,1188,2006,2084,2075,11462,886007
Service - tug,610,355,2008,2009,2008,2008,466453085,381662634,346,909,713,684,649,48764
Service - other,105,78,2010,2009,2006,2005,237716925,198948803,461,1575,1480,1520,278,20863
Container,3146,612,2008,2008,2010,2010,573615336521,614225339298,1422,2155,2155,2124,52082,4032450
Ferry-RoPax,385,14,1989,1988,1983,1985,2045041342,587764074,151,2249,353,315,994,75407
Liquefied gas tanker,414,172,2008,2009,2009,2009,30653378712,35702907216,1339,2942,2521,2516,4240,327663
Offshore,307,214,2008,2010,2005,2003,1381707416,2118124180,353,1512,1478,2507,908,68302
Cruise,3,2,1993,1992,1990,1991,110571686,14152754,1321,1527,1624,1571,241,18649
Refrigerated bulk,41,5,2007,2004,2007,2007,454746316,427932266,294,595,798,800,168,12855
Miscellaneous - other,5,1,1972,1972,1972,1972,77693255,129505169,927,927,757,757,27,2017
Ferry-pax only,3,2,1979,1983,1974,1974,3633280,532118,1788,1984,1146,1135,11,822
