int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Jeddah,3376,1175,2003,2007,2010,2010,388999737077,401856881610,1014,2183,2068,2010,36162,2797231
Al Jubail,444,346,2007,2008,2009,2009,11393619120,18045239408,504,1053,880,999,1565,120727
Dammam,1324,803,2008,2008,2010,2010,46984325272,68536695789,349,1050,724,987,4914,379662
Ras Tanura,1433,888,2008,2009,2008,2008,105238385439,197303382163,479,870,1041,1055,8088,625463
Al Jubayl,1570,976,2010,2010,2011,2011,63860782529,109726978811,573,1143,1359,1377,7742,598404
Yanbu Industrial,698,455,2008,2009,2007,2007,67508517183,117082217317,1313,2152,1873,1874,7045,545172
Juaymah,1144,562,2008,2009,2009,2009,217841798727,409453042072,525,1457,1421,1411,10577,819057
Yanbu,141,121,2005,2007,2010,2010,7830340538,13667294175,1590,2240,2315,2392,879,67824
Rabigh,1088,388,2006,2007,2009,2009,183594994979,212426718487,1678,1945,2122,2106,18408,1424911
Jizan,101,93,2008,2008,2010,2010,4179206461,6688346549,1749,1652,1724,1714,529,40890
Ras Al Mishab,26,24,2011,2011,2007,2006,25938024,24936939,354,560,425,403,59,4500
Ras Al Khair,278,225,2010,2010,2008,2008,8811133171,12647119888,620,1212,1835,1740,1081,83221
Duba,722,58,1992,2002,1998,2005,3215889222,3238988795,120,1272,322,595,805,61608
Safaniya,92,84,2010,2010,1998,1997,667199841,743256328,296,1268,1598,1723,240,18201
Khafji,143,81,2006,2006,1993,1994,1081846164,1384668716,94,511,2000,1740,204,15614
Al Khobar,3,3,1997,1997,1998,1998,107145692,202775505,321,378,584,589,19,1491
Buraydah,2,2,2002,2002,1996,1996,139285829,240609493,2734,2734,5029,5057,18,1404
Umm Lajj,1,1,2006,2006,2006,2006,49378280,85981574,5978,5978,5978,5978,6,491
