Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,7163,3932,933225,1732932,2009,2009,2010,2010,1793,2829,3172,3226,169,285,573,580,105,127,90,88,64536.9,4996989,5092931,421370002,997789025,1181979239,58826,208725,250145
Oil tanker,3934,1576,767560,1449207,2006,2008,2010,2010,1228,2928,3509,3556,134,299,661,666,22,59,54,54,52679.1,4076076,4154337,492107545,889686576,978415911,125091,328001,407186
Chemical tanker,3705,1173,74248,119524,2007,2008,2008,2008,1021,1555,1564,1569,101,144,263,265,44,68,71,71,15611.7,1201317,1224382,70693522,269983090,320273182,19081,82895,100689
Container,3228,556,99249,122037,2005,2006,2007,2007,670,1286,1090,1085,56,104,232,224,25,33,29,29,15202.8,1174934,1197493,99587021,317038011,352943856,30851,104385,122480
General cargo,2965,975,49355,65784,2005,2005,2006,2006,1035,1877,2022,2020,111,206,380,387,39,81,101,106,8679.6,666389,679184,42787573,139888143,201272484,14431,69973,93789
Service - tug,2083,441,846,711,2008,2009,2010,2009,216,901,905,931,58,306,853,892,33,166,316,306,1014.6,76301,77766,18179896,42989981,57561261,8728,22537,30428
Ferry-pax only,1229,89,714,173,2002,2002,1999,1999,642,1438,934,940,39,104,188,187,15,47,76,62,746.8,56073,57150,9885992,21844298,27737194,8044,19534,25777
Liquefied gas tanker,1153,380,113636,103632,2005,2007,2006,2008,1646,3290,3810,3725,142,265,560,552,31,73,150,133,14776.5,1020527,1040121,31508606,186694152,163342845,27327,213030,318796
Vehicle,367,132,26185,8794,2004,2005,2005,2005,677,2235,1612,1663,50,149,233,238,11,23,37,41,1770.7,137018,139649,8905181,39262302,45469747,24265,92230,99260
Ro-Ro,351,37,332,309,2010,2010,2000,2002,70,1252,321,326,11,544,409,593,9,229,97,106,486.3,36675,37379,679284,4150329,2195385,1935,4675,6213
Service - other,270,101,3660,3910,2006,2005,2002,2001,290,1958,1403,1156,42,504,1254,1314,25,245,169,172,1038.8,79396,80920,27283033,55978794,60320540,101048,224849,253887
Cruise,104,49,7292,741,2002,2001,2006,2005,783,1055,1013,1004,46,86,62,64,8,14,39,37,1423.2,110143,112258,1175767,11550528,14965277,11305,96941,118407
Ferry-RoPax,103,23,293,94,1995,1997,2000,2001,371,1736,1340,1369,37,485,661,615,29,172,260,305,200.0,15062,15351,1020048,2356641,3010512,9903,21649,25692
Miscellaneous - fishing,79,32,216,154,2001,2000,2004,2005,318,9130,1897,2461,91,1388,2445,2742,21,53,63,59,244.5,18357,18710,1085788,2408487,2738206,13744,32346,38344
Refrigerated bulk,38,27,710,780,1992,1993,1993,1992,2695,4556,3833,3948,256,508,812,831,9,37,51,55,366.3,27839,28373,2314205,5056649,5695840,60900,129777,140121
Other liquids tankers,4,4,74,89,2013,2013,2010,2011,438,676,1238,1188,116,114,132,128,23,52,74,79,11.8,912,929,45867,130965,282360,11467,39725,64192
