Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,7239,3962,826204,1522403,2009,2009,2009,2009,1935,2472,2763,2787,197,257,461,465,63,90,108,108,57736.8,4470487,4556321,381218423,912295246,1089555492,52662,189750,228133
Oil tanker,3921,1570,857019,1624868,2006,2008,2010,2010,1343,2966,3943,4012,156,301,651,656,34,74,79,79,52791.3,4083428,4161829,523605549,940776627,1026614034,133539,351837,437248
Chemical tanker,3648,1148,95097,154081,2007,2008,2009,2009,1125,2091,2035,2055,120,198,406,410,27,43,68,68,18091.2,1393263,1420014,79512214,322701558,381095844,21796,101050,122782
Container,3221,554,100623,124264,2005,2006,2007,2007,711,1174,1108,1109,59,93,126,126,17,34,29,29,14714.4,1137432,1159271,100651261,319340467,356160768,31248,105753,124120
General cargo,2932,967,51800,68487,2005,2005,2006,2007,1284,2008,2150,2129,141,224,422,423,29,72,92,93,8910.7,684107,697242,47074288,152565452,219037814,16055,76488,102349
Service - tug,2119,445,802,696,2008,2009,2010,2009,126,827,839,875,41,326,667,672,16,162,281,287,905.9,68125,69433,17789842,42067621,56326271,8395,21678,29270
Ferry-pax only,1235,89,427,109,2002,2002,2000,1999,440,1459,557,589,27,104,639,375,17,81,66,76,637.2,47843,48762,7439383,15746958,19912995,6024,14295,18854
Liquefied gas tanker,1141,372,91868,82658,2005,2007,2006,2007,1593,2601,3118,3014,142,226,413,412,29,81,64,69,12232.4,842184,858354,25321858,149071896,130641489,22193,172383,257698
Vehicle,365,129,26264,8536,2004,2005,2006,2006,812,2227,1622,1622,59,153,206,204,10,18,18,18,1838.1,142306,145039,8644100,38111212,44136667,23682,90017,96878
Ro-Ro,356,37,374,325,2010,2009,1998,2000,46,606,348,335,11,365,307,353,1,57,154,228,495.2,37337,38054,686857,4085808,2191730,1929,4656,6142
Service - other,281,111,2980,3035,2005,2005,2003,2001,269,2246,1128,883,43,332,576,569,32,248,681,446,813.2,61999,63190,21177106,43450772,46820838,75363,167696,189353
Cruise,104,48,5940,625,2002,2001,2005,2004,910,983,814,833,61,82,73,73,10,19,21,21,1225.7,94845,96666,1100634,10140995,13084365,10583,84684,102300
Ferry-RoPax,98,18,308,89,1994,1993,1990,1992,333,1222,1804,1721,36,155,355,406,18,36,57,75,139.8,10495,10697,1048759,2405719,3086447,10702,23450,28467
Miscellaneous - fishing,80,31,159,115,2001,2000,2003,2002,435,4012,1361,1790,67,498,879,1074,19,133,336,315,125.4,9414,9595,811373,1799783,2046170,10142,23869,28295
Refrigerated bulk,40,30,698,714,1992,1993,1994,1994,2145,4510,3719,3594,182,685,1165,1106,92,222,276,282,507.9,38438,39176,2117815,4627529,5212476,52945,112826,121818
Other liquids tankers,5,4,452,551,2013,2013,2011,2011,221,3826,7487,7267,104,262,493,492,97,129,214,205,81.0,6260,6380,282530,806711,1739268,56506,195758,316325
