Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,12452,511,97497,158289,2003,2003,2003,2003,381,808,748,772,50,133,282,293,46,99,106,104,29879.1,2283757,2327605,156247852,232807753,261216456,12548,34373,42641
General cargo,11314,791,34511,46962,2001,2003,2000,2000,508,802,777,779,65,135,285,292,43,91,159,161,9223.5,700466,713915,78593704,231986485,328293453,6947,26241,35361
Ferry-RoPax,10792,192,18260,5938,1992,1992,1991,1993,257,1656,471,477,22,366,428,450,12,116,99,107,9962.6,751993,766431,60276021,140223311,178388161,5585,12181,14132
Container,9900,360,74917,95508,2004,2005,2003,2003,479,619,595,597,54,75,148,149,31,43,75,75,17483.9,1338247,1363942,130136878,383739571,430811186,13145,40035,46370
Ferry-pax only,8795,130,23994,5814,1997,1998,1996,1997,335,1982,423,436,24,213,92,95,6,66,29,31,7792.0,586308,597565,184725684,491596617,634108743,21003,56651,74917
Service - tug,7526,550,1875,1455,2009,2009,2010,2010,256,788,575,574,74,373,957,955,28,148,328,326,2939.2,220732,224970,37222144,88019166,117852906,4946,12771,17243
Bulk carrier,5989,963,101783,178445,1997,2008,2003,2004,480,1035,1031,1080,54,125,507,521,54,120,174,176,10855.6,838049,854139,75353469,171919692,212149132,12582,43971,53108
Chemical tanker,4692,524,27081,42964,2001,2006,2003,2003,481,688,718,718,59,74,140,140,45,62,105,106,10229.6,780030,795007,40474631,130162135,156336489,8626,31572,38337
Liquefied gas tanker,2668,95,31483,29357,1997,1999,1998,1999,365,1543,1175,1080,38,151,315,327,30,98,192,191,7363.6,521667,531683,12691705,56100647,53303560,4757,31699,45106
Ro-Ro,2224,106,5064,4255,2006,2007,1999,2004,429,965,693,727,53,275,296,378,30,76,280,247,5803.5,437604,446006,12034366,84386217,41650873,5411,13148,18192
Vehicle,1484,20,8009,3560,1990,1991,1990,1990,517,594,655,643,49,57,109,112,15,16,59,58,1753.9,133821,136391,3605301,15895514,18408625,2429,9234,9938
Service - other,823,96,2331,1979,2000,2004,1999,1997,548,1926,1106,1095,78,480,690,650,47,200,376,376,1443.1,108767,110855,13809657,28334385,30532015,16780,37338,42159
Cruise,168,32,2067,220,2000,2001,2008,2007,272,405,379,389,21,50,54,87,12,26,33,50,526.8,40596,41376,506462,3889938,5297965,3015,20387,25841
Miscellaneous - fishing,52,9,40,19,1991,1995,1992,1991,554,1033,1149,1193,70,81,522,499,66,340,1875,1992,61.4,4608,4697,136494,302770,344218,2625,6178,7323
Refrigerated bulk,11,2,10,13,1995,1989,1995,1995,533,532,712,717,197,131,715,720,72,74,115,115,48.5,3644,3714,38894,84986,95729,3536,7535,8135
