Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Singapore,8229,2998,115599,176046,2006,2008,2008,2008,571,918,898,932,55,137,190,193,15,51,68,71,17807.6,1363937,1390124,110172412,289617191,336796076,13388,45074,55259
Malaysia,5197,2171,74809,115725,2005,2006,2007,2008,521,934,921,968,53,121,234,255,19,72,100,96,11426.2,877866,894721,72013717,190308336,225439639,13857,45992,56663
China,3395,2392,368661,657681,2007,2008,2009,2009,2287,2505,2612,2638,223,275,487,504,58,90,98,99,30865.8,2372547,2418099,206746753,490745953,568145277,60897,204817,249994
Japan,966,611,108198,158329,2007,2009,2007,2009,2930,3185,3051,3043,261,309,321,330,46,73,65,73,9867.7,725429,739357,48932089,148321986,167520627,50654,212189,273231
Australia,962,637,85746,138194,2008,2009,2010,2010,1792,2634,2876,2958,174,280,501,523,45,83,94,102,8039.9,614088,625878,53212888,139690915,165733938,55315,195655,243423
Philippines,877,570,33901,51065,2007,2008,2008,2009,1356,1600,1550,1545,115,156,232,245,55,111,143,163,3910.2,301856,307652,25610460,73577085,86899041,29202,106587,129280
Thailand,865,603,39431,60833,2006,2007,2009,2009,1468,1812,1676,1761,135,179,198,209,49,112,125,136,4429.6,341512,348069,30412228,74929896,90502979,35159,119767,145578
India,844,707,76072,136111,2008,2009,2009,2009,2416,2551,2822,2845,218,254,445,456,68,99,106,108,7086.1,547611,558125,51295342,122823041,147165283,60776,202123,247004
Viet Nam,780,488,19077,29815,2006,2007,2008,2008,1291,1701,1525,1550,135,214,225,231,52,135,126,135,2551.0,196373,200143,19634886,54429769,67240455,25173,90223,111915
"Korea, Republic of",593,406,73325,123243,2006,2007,2007,2008,2968,3368,3441,3472,263,316,437,460,44,96,111,119,6794.7,520854,530854,46506412,120273430,139708225,78426,272632,335054
"Taiwan, Province of China",573,388,47754,73229,2007,2008,2009,2009,2005,2464,2657,2554,155,236,563,580,30,69,69,73,5013.3,372597,379751,29616097,88294583,98671738,51686,198307,249783
United Arab Emirates,470,410,166191,308605,2008,2008,2008,2008,3509,3637,3616,3614,317,354,361,362,36,74,69,70,9061.8,699426,712855,93852348,180221101,195387133,199686,555591,699402
Hong Kong,259,192,15750,24240,2006,2007,2007,2007,1947,2130,2008,2018,164,225,230,239,8,36,51,57,1747.2,134224,136801,11200424,31749497,37130058,43245,157094,189926
Sri Lanka,241,180,17330,30503,2006,2008,2009,2009,1516,1727,1709,1716,137,192,209,213,15,36,41,41,1310.2,101108,103049,11583919,25788959,30245834,48066,148721,183911
Bangladesh,221,148,6743,11165,2005,2005,2004,2004,1666,1861,1936,1941,152,202,350,372,72,130,149,152,1031.0,79318,80841,6481078,16387575,19958639,29326,101892,124458
Brazil,196,177,170310,325055,2008,2009,2008,2008,9079,9093,9272,9278,788,809,818,817,72,118,108,108,8233.0,637685,649929,61119707,150326477,169319635,311835,999396,1221353
Saudi Arabia,145,126,57607,106806,2009,2010,2009,2009,3987,3991,3960,3950,343,359,369,371,42,54,49,49,2900.4,224624,228937,28740755,57380187,61845693,198212,582306,727698
South Africa,124,120,37309,68549,2008,2008,2009,2009,4953,5453,5670,5711,435,491,562,569,35,61,52,51,2465.9,190806,194470,19114490,45720720,53044720,154149,515788,627417
Timor-Leste,109,29,544,759,2003,2002,2002,2003,825,1229,682,674,81,354,167,160,45,88,60,60,196.4,14938,15225,1316358,3708091,4726214,12077,40833,51075
United States of America,109,96,58328,105633,2007,2009,2011,2011,7899,8807,9119,9123,687,767,900,897,62,99,110,112,4515.8,348049,354732,31769002,73464101,82273573,291459,962152,1225438
Papua New Guinea,86,53,3090,3967,2004,2004,2006,2006,2508,2207,2421,2461,186,247,201,206,48,89,98,93,622.5,47953,48874,2959573,10605855,12621096,34414,143786,179664
Iraq,86,75,41511,79707,2010,2010,2010,2011,3941,4026,3932,3970,356,384,392,393,70,79,82,82,1974.0,152906,155842,21282870,37511015,40136051,247475,668056,828723
Myanmar,83,39,811,1192,2002,2003,2004,2004,1260,1811,1531,1513,142,186,248,237,47,137,162,150,241.1,18444,18798,2168090,4702992,5786118,26122,80386,100088
