Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,221,64,1238,1589,1994,2002,2005,2005,466,1619,1498,1464,87,191,237,240,61,81,112,115,308.8,23616,24069,1425779,4451669,6314545,6451,28658,37805
Liquefied gas tanker,183,53,5957,6768,2013,2011,2012,2012,1341,2216,2176,2169,120,225,398,396,37,74,55,56,946.7,72988,74389,2337975,12431259,11196525,12776,94074,138310
Container,112,24,2859,3613,2003,2004,2004,2004,500,1501,1290,1278,44,114,125,124,32,78,87,86,552.2,42631,43449,3112120,10693969,11784376,27787,98395,115569
Bulk carrier,82,60,4986,8573,2006,2008,2011,2011,1744,2670,2794,2838,176,331,551,556,62,87,106,107,434.9,33643,34289,3096793,7105530,9029583,37766,139333,167768
Service - tug,80,17,10,9,2008,2007,2008,2008,486,662,595,598,186,256,335,343,83,191,187,168,41.8,3140,3200,218489,516660,691780,2731,7052,9522
Chemical tanker,50,25,979,1438,2010,2011,2009,2009,1815,1402,1623,1597,182,131,223,221,44,53,64,64,241.7,18621,18979,911895,3303363,3886435,18238,74641,89329
Cruise,28,19,1169,156,1998,1998,1995,1993,495,1032,1050,1111,39,70,126,136,12,51,20,21,259.7,20075,20461,513401,3397047,4390144,18336,103018,119642
Oil tanker,26,5,748,1323,1995,2003,2007,2007,1868,2839,3259,3333,226,281,448,454,27,26,26,25,133.8,10242,10438,1054689,1672806,1796349,40565,114395,146159
Service - other,13,2,1,0,2009,2010,2007,2007,430,252,354,444,177,106,205,211,161,144,212,217,8.5,637,649,2247,4611,4969,173,385,434
Ro-Ro,10,2,1,1,2010,2010,2010,2010,46,57,80,79,15,14,25,25,10,14,50,49,4.5,339,346,3466,26718,12608,347,846,1206
Refrigerated bulk,5,3,85,93,1984,1989,1996,1995,6344,8702,8538,8284,919,981,1147,1124,69,135,96,99,74.5,5631,5739,275051,601000,676970,55010,117226,126569
Ferry-pax only,1,1,2,0,2018,2018,2018,2018,2001,2001,2001,2001,106,106,106,106,9,9,9,9,0.2,13,13,15800,32179,40536,15800,36743,48440
