Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Skagen,3882,2099,95874,148666,2004,2006,2009,2010,575,1079,1287,1284,58,119,354,362,8,30,26,25,13496.1,1015615,1035115,69531818,187249905,221538786,17911,63825,79467
Aarhus,1594,512,10660,13462,2002,2002,2009,2009,278,771,424,539,34,79,198,263,14,37,68,89,2235.4,168733,171973,10748016,33048761,40335661,6743,24342,30266
Esbjerg,1097,367,8111,5839,2002,2001,2007,2008,334,717,570,626,33,105,195,231,11,61,57,59,1878.3,141409,144124,11682288,28778494,36350168,10649,30199,37375
Hirtshals,843,205,9840,3210,2002,1997,2008,2004,361,594,587,679,23,117,167,162,6,59,35,28,2331.6,166682,169882,9679283,28232217,30732478,11482,27557,29165
Aalborg,816,376,4106,4746,1995,1999,2004,2004,431,677,944,1033,49,73,200,228,19,40,75,72,1019.0,77241,78725,6697247,17799005,23099821,8207,26354,33453
Nordhavn,735,111,8781,1583,1996,1999,1999,2000,276,383,341,369,19,42,30,36,5,14,8,8,2013.0,151177,154080,4496599,15687348,18666031,6118,19709,20977
Copenhagen,728,335,10497,5577,2002,2001,2009,2008,395,536,616,696,40,61,89,173,12,26,20,42,2352.1,176744,180138,6048989,24474362,29705780,8309,35130,42796
Frederikshavn,698,259,6934,6601,1995,2000,1997,2007,271,697,621,834,22,133,128,180,15,129,78,78,1481.0,111399,113538,7257147,18043321,22113447,10397,27675,31768
Fredericia,656,316,4719,7173,2003,2003,2007,2007,355,657,672,714,42,75,211,232,20,41,58,61,1131.6,85096,86730,5650597,15670521,19252023,8614,28607,36106
Hanstholm,573,180,734,827,1994,1998,2005,2006,219,718,503,436,32,97,158,123,15,48,93,54,389.5,29247,29809,2314217,5586709,6618946,4039,10625,13099
Roenne,554,198,938,379,1992,1994,2002,1999,183,316,383,306,19,61,38,59,13,27,94,46,356.9,26802,27316,1479494,4115996,5438095,2671,7628,9347
Kalundborg,515,316,8917,14334,2003,2003,2006,2006,519,1006,1372,1383,50,108,341,339,18,36,40,40,1643.1,124608,127000,11382892,27325974,32246587,22103,61538,74759
Thyboron,506,212,827,982,1992,1995,2002,2003,322,818,649,629,42,125,242,258,13,79,70,58,457.0,34347,35006,3443873,8073139,9493982,6806,17519,21280
Koege,365,171,458,602,1995,1997,2000,1999,349,533,464,510,44,70,92,92,17,33,38,36,165.4,12424,12663,1813480,5146145,7307637,4968,16224,22742
Randers,352,171,444,645,1992,1994,1996,1996,419,557,530,527,48,67,98,96,15,28,35,35,145.8,10971,11181,1823233,5219388,7437276,5180,17323,24374
Frederiksvaerk,341,106,373,479,1993,1993,1994,1995,363,427,457,444,45,56,64,65,21,32,61,57,104.7,7865,8016,1397775,4004179,5724622,4099,13528,19232
Kolding,267,180,538,744,1996,1998,1999,1999,494,693,705,703,61,80,114,113,26,37,40,40,152.8,11500,11721,1732347,4910682,6969842,6488,22228,30699
