Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Koege,584,63,832,263,1997,1990,2008,2005,110,170,144,149,7,29,9,14,10,21,12,12,261.2,19615,19991,1481540,3678125,4575073,2537,5744,5783
Aarhus,527,178,1025,567,2000,1998,2010,2006,127,169,315,175,13,36,81,41,15,31,53,31,414.6,31131,31728,1410754,3704104,4570198,2677,7275,8466
Roenne,495,98,613,242,2004,1992,2007,2004,93,489,105,143,7,166,50,118,1,62,9,24,221.2,16610,16929,1261659,3122539,3857506,2549,6014,6421
Aalborg,448,146,377,412,1993,1996,2000,1996,148,212,180,186,17,28,29,31,14,33,24,27,165.7,12435,12673,878918,2471601,3196291,1962,6418,8358
Fredericia,444,143,652,641,2001,2000,2003,2004,134,157,146,142,12,36,42,49,9,29,18,25,269.2,20214,20602,887637,2364126,2947585,1999,6124,7614
Copenhagen,408,136,391,430,1989,1995,2001,2000,142,165,165,174,15,22,20,22,12,37,46,60,187.0,14040,14310,899819,2415377,2984860,2205,6817,8625
Thyboron,369,102,226,279,1985,1992,1996,1996,191,484,309,278,24,118,256,212,11,140,101,74,215.8,16205,16516,1440459,3182553,3638934,3904,9366,11163
Kalundborg,349,126,412,656,1998,1997,2005,2005,153,277,167,163,18,64,75,59,14,45,65,60,277.5,20835,21235,952973,2281024,2752099,2731,7463,9326
Lindoe,304,99,319,421,1992,1998,2004,2004,126,338,256,251,19,93,147,168,10,92,174,184,366.3,27502,28030,821838,1924934,2432714,2703,7134,9080
Esbjerg,297,71,244,284,1984,1996,1999,1998,146,810,285,259,19,224,298,214,5,107,65,44,153.5,11529,11750,1299704,2952734,3488680,4376,10881,13179
