Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,2012,458,938,1245,1991,1998,1998,1998,143,193,198,194,18,26,47,44,13,33,45,39,334.2,25093,25575,3190245,9218649,13188723,1586,5385,7595
Service - other,1925,89,544,689,1978,1989,1990,1989,123,937,261,256,19,304,259,254,9,82,62,51,876.6,65819,67082,4806251,9861372,10626226,2497,5556,6273
Service - tug,1049,68,113,71,1997,1996,2000,2000,152,409,253,256,25,188,554,544,18,81,126,128,400.4,30064,30641,1828485,4323816,5789356,1743,4501,6077
Ferry-RoPax,939,34,5401,1029,2008,2000,2010,2011,96,4446,415,336,7,701,1270,1377,9,221,156,133,2001.9,150259,153144,7311076,17732743,22006923,7786,16737,16615
Miscellaneous - fishing,643,101,361,318,1990,1991,2002,2005,286,731,742,760,35,119,376,403,19,170,206,214,464.9,34908,35578,2234761,4957132,5635757,3476,8179,9696
Chemical tanker,570,140,710,1121,2003,2005,2005,2005,152,222,227,226,15,28,89,86,13,35,51,51,406.5,30543,31130,1417689,4399224,5442549,2487,8727,10907
Bulk carrier,381,72,940,1514,1988,2006,2004,2005,147,261,297,294,16,29,182,175,14,35,45,45,166.0,12514,12755,1068251,2409454,2980806,2804,9139,11210
Container,281,30,540,649,2002,2003,2002,2003,127,152,142,142,12,16,26,26,10,21,12,13,155.3,11659,11883,737305,2462331,2782484,2624,9241,11022
Ro-Ro,194,8,565,409,1998,1996,2000,2000,138,174,144,144,11,190,22,21,4,22,7,7,137.8,10341,10540,445763,878917,972305,2298,5405,5783
Oil tanker,157,75,1682,2764,2003,2007,2008,2008,160,227,285,274,19,96,151,141,22,66,101,100,906.1,68076,69383,1466019,2757264,3083337,9338,24365,29962
Ferry-pax only,111,11,14,5,1943,1960,1970,1954,112,493,715,298,33,175,1375,998,24,120,363,250,70.7,5307,5408,416350,847935,1068136,3751,8723,11499
Cruise,107,41,510,58,1989,1989,2007,2005,146,150,154,150,14,19,16,16,9,10,9,10,159.9,12008,12238,171805,1162838,1569014,1606,9476,11747
Refrigerated bulk,12,6,9,9,1991,1997,1993,1993,118,135,147,149,11,11,13,14,2,2,4,4,5.1,383,391,25676,56104,63196,2140,4560,4923
Liquefied gas tanker,11,10,22,24,2005,2004,2011,2010,180,201,206,197,19,79,111,121,28,40,28,29,19.7,1471,1499,15241,49516,52284,1386,7966,10706
Other liquids tankers,1,1,0,1,1988,1988,1988,1988,185,185,185,185,20,20,20,20,20,20,20,20,0.7,50,51,313,893,1926,313,1084,1752
Vehicle,1,1,11,3,2009,2009,2009,2009,520,520,520,520,34,34,34,34,3,3,3,3,2.6,193,197,2859,12606,14599,2859,10868,11696
