Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Skagen,3947,2114,140111,227444,2004,2006,2009,2010,662,1722,1825,1917,70,174,400,412,34,89,112,114,18418.3,1395262,1422051,100431512,260860792,319703222,25445,91602,113851
Aarhus,1561,496,12264,12619,2002,2002,2010,2010,402,500,486,515,37,53,71,80,16,41,33,37,2429.7,182634,186140,10669568,34457003,40396620,6835,24313,29956
Esbjerg,1107,375,6984,5791,2002,2000,2008,2009,326,782,488,616,27,121,155,219,13,53,46,60,1676.8,126446,128874,8816103,22107386,28331492,7964,24383,30314
Aalborg,853,381,3695,4147,1995,1999,2004,2004,403,583,788,828,39,63,186,206,23,47,61,74,945.1,71564,72938,5960080,16120290,21005862,6987,22898,29169
Hirtshals,844,203,10339,4795,2002,1998,2008,2006,383,705,616,996,24,101,149,268,7,59,35,59,2425.4,174721,178076,10598525,31450510,33085292,12557,30459,32792
Frederikshavn,732,264,15769,20494,1995,1999,2003,2009,262,1068,1382,2489,29,160,596,709,11,83,52,62,2507.2,189785,193429,14975611,34060188,40727548,20458,52606,60559
Nordhavn,712,108,8977,1405,1996,1999,2000,2000,274,382,359,357,19,42,33,33,6,15,9,15,2070.3,155455,158440,4347076,15353883,18107339,6105,19692,20613
Copenhagen,671,319,8476,3942,2002,2001,2008,2007,307,478,520,535,35,52,77,153,15,47,30,75,2158.6,162492,165612,4702876,19025249,23442107,7009,29607,36164
Fredericia,611,295,3046,4272,2003,2003,2005,2006,314,480,452,439,38,59,80,80,19,39,43,46,924.5,69340,70671,3922751,11610735,14229120,6420,22093,27812
Hanstholm,558,172,715,904,1994,1998,2005,2006,193,600,509,496,25,82,152,129,12,52,61,51,316.4,23790,24247,1822238,4483806,5479598,3266,9094,11383
Roenne,555,187,1223,502,1992,1993,2004,2000,216,409,475,387,25,79,142,101,13,57,84,153,473.4,35549,36232,2630632,6881650,9103309,4740,13081,16427
Kalundborg,514,320,5460,8476,2003,2003,2005,2006,477,892,904,888,50,106,222,217,19,66,73,69,1366.2,103161,105141,8008529,19702893,23518154,15581,44395,53541
Thyboron,480,199,509,607,1993,1996,2002,2003,276,778,431,428,35,120,151,130,18,134,102,80,336.3,25257,25742,2671392,6181147,7161416,5565,13936,16838
Frederiksvaerk,431,113,594,770,1992,1993,1993,1993,385,603,629,615,50,72,118,109,25,50,309,325,163.1,12243,12478,2364173,6750585,9651459,5485,17886,25536
Koege,342,180,351,475,1997,1998,2000,1999,251,352,352,378,27,41,89,95,20,49,87,91,125.0,9388,9569,1241353,3535309,5004073,3630,12112,16856
Randers,309,159,330,479,1992,1995,1994,1994,398,465,440,439,43,70,78,76,22,39,40,41,118.3,8879,9050,1353342,3854685,5471245,4380,14601,20454
Grenaa,291,149,1426,1042,1995,1998,1995,2005,320,494,924,834,35,71,259,241,21,60,40,84,335.4,25234,25718,2257323,5808536,7598664,7757,21878,25872
Kolding,251,171,429,612,1997,1998,2001,2002,404,507,588,602,46,56,135,143,29,43,49,50,112.4,8465,8627,1297644,3630809,5161241,5170,17799,24497
Nekso,232,77,72,52,1984,1986,1988,1991,365,961,443,363,48,130,196,139,39,249,440,337,189.6,14235,14508,347161,795938,1010920,1496,3847,5008
Aabenraa,221,138,2870,5149,1997,1997,2004,2004,364,646,1560,1749,39,70,423,439,25,51,83,83,375.9,28513,29060,2996204,7135436,8534119,13557,38740,49436
Nyborg,216,66,568,790,1992,1999,1999,1999,350,657,826,847,40,97,293,307,17,35,43,46,247.3,18690,19049,2313636,5842124,7210796,10711,30938,38638
Vejle,214,143,243,344,1996,1998,2000,2000,307,459,443,439,38,51,72,71,20,35,40,40,85.2,6401,6524,914172,2627591,3713136,4272,14445,20057
Lindoe,200,157,1855,1695,2000,2001,2004,2007,374,886,1004,703,47,101,365,217,23,87,1502,332,488.0,36715,37420,2580047,6435672,8167752,12900,36529,43691
Avedore,174,65,430,613,2006,2003,2008,2008,528,501,571,570,42,55,67,66,30,39,38,38,119.3,8956,9128,1081042,3174419,4387092,6213,24378,31141
Horsens,168,102,165,232,1994,1994,1997,1996,312,451,435,431,36,54,77,75,18,62,48,48,60.0,4509,4595,683591,1931402,2731900,4069,13391,18751
Vesteroe,122,99,6874,12235,2002,2004,2008,2008,595,1631,3448,3831,66,153,838,886,41,109,173,145,670.5,51223,52207,4399081,8996165,10610404,36058,113048,142482
Nakskov,111,76,183,257,1998,1999,2004,2004,412,520,490,494,49,66,98,100,34,40,43,45,60.8,4571,4659,621640,1777741,2464085,5600,19208,25897
Korsor,105,84,306,510,1998,1998,2006,2007,361,476,875,967,43,54,177,187,29,41,28,26,64.6,4875,4968,547943,1503360,2048940,5219,18228,24414
Middelfart,88,55,196,276,2003,2000,2005,2005,465,579,543,546,48,61,70,70,26,42,44,43,59.8,4492,4578,542861,1577092,2194329,6169,23416,30402
Hundested,86,40,115,101,1994,1996,1993,1997,211,434,331,353,20,48,48,61,18,31,28,36,38.5,2890,2945,288884,850370,1192294,3359,11159,15412
Naestved,86,59,60,87,1994,1996,1996,1996,271,339,328,331,30,47,63,63,24,55,47,49,21.5,1618,1649,265915,760785,1088858,3092,10120,14445
Odense,78,52,115,104,1994,1995,1989,1998,405,459,601,405,39,77,634,139,22,41,237,67,94.3,7138,7275,328204,905197,1238813,4208,12994,17485
Hvide Sande,75,66,143,81,1996,1996,2010,1999,271,608,478,427,36,99,103,168,25,42,74,36,59.1,4441,4526,261069,768050,1049383,3481,11373,15607
Nykobing (Falster),69,52,72,102,1998,1998,2001,2002,335,472,430,436,41,59,81,81,20,68,91,93,29.2,2195,2237,332571,860227,1201229,4820,15187,21033
Kongsdal Harbour,69,36,86,125,1994,2000,2002,2003,433,711,598,609,54,82,103,105,20,22,25,26,27.2,2042,2081,388137,1113798,1599809,5625,18387,26396
Nykobing (Mor),67,60,864,1230,2001,2002,2007,2007,519,775,844,915,49,70,162,174,23,93,70,74,183.3,13757,14021,647478,2131454,2689900,9664,41597,52702
Svendborg,65,40,33,35,1980,1986,1991,1996,278,397,481,419,37,54,197,99,33,68,167,83,33.1,2489,2536,154304,405493,554825,2374,6907,9315
Christianso Harbor,64,53,453,629,1994,1995,2006,2004,389,1010,729,730,40,83,162,178,22,213,265,144,131.3,9878,10068,434452,1000847,1212020,6788,19763,23554
Rodbyhavn,63,27,431,134,1994,1989,1993,1996,164,1115,2669,828,31,161,1367,813,15,86,813,537,214.6,16112,16421,532821,1358017,1671694,8457,19786,19785
Marstal,60,27,38,42,1949,1974,2005,2005,102,261,271,268,30,45,77,75,21,30,26,22,44.0,3307,3371,101397,264056,326578,1690,5032,6502
Fakse Ladeplads Havn,57,19,35,46,1986,1986,1986,1986,292,402,398,406,38,66,74,74,21,29,25,25,13.5,1017,1037,145521,416318,597238,2553,8296,11915
Hobro,53,31,90,137,1993,1995,2002,2002,299,380,678,684,33,41,167,168,18,30,14,14,18.5,1400,1427,180709,516093,750656,3410,12294,17034
Stevns Pier,51,32,110,167,1999,2001,2003,2003,803,706,751,754,82,77,92,93,22,35,39,39,36.4,2731,2784,373725,1083740,1526867,7328,26514,35633
Stigsnaes Inter Terminal,49,41,3511,6377,2006,2006,2008,2008,671,1651,2763,2890,65,183,664,672,36,47,39,38,363.1,27750,28283,2804228,6064110,6847563,57229,156819,193023
Romo,46,32,3,2,1977,1978,1985,1972,373,619,482,564,68,120,142,186,28,130,160,280,24.4,1836,1871,19571,42600,49862,425,995,1216
Vordingborg Sydhavnen,42,35,70,105,1998,1998,2005,2005,388,582,621,621,52,69,139,138,30,50,54,52,26.1,1965,2002,240935,693621,972726,5737,20535,27532
Masnedsund,41,33,36,51,1995,1995,1997,1997,294,484,420,413,37,103,168,146,31,45,57,52,18.5,1392,1419,185939,494072,675076,4535,13641,18755
Blavand,38,34,94,152,1994,1992,2006,2006,302,490,489,489,47,68,109,106,22,51,24,25,31.3,2355,2400,169445,457016,554344,4459,14336,17570
Masnedovaerkets Havn/Vordingborg,36,19,16,23,1986,1992,1996,1997,183,303,308,319,33,43,45,45,21,34,31,31,6.1,461,470,65544,186850,265155,1821,6078,8501
Studstrup,35,30,263,408,2007,2007,2010,2010,523,591,603,601,62,67,88,88,53,73,107,107,39.7,2986,3043,250276,624078,866553,7151,27193,34163
Hals,34,24,52,62,1996,1996,2005,2002,312,423,509,466,41,49,70,65,20,32,28,29,19.5,1469,1498,130518,361606,498412,3839,13206,17726
Gedser,33,21,220,314,1997,1991,2009,2009,192,1846,1801,1833,30,308,497,472,17,56,30,28,85.8,6486,6611,217430,600472,821455,6589,25110,31645
Faaborg Havn,33,15,19,12,1964,1958,1989,1984,177,248,221,238,26,54,202,330,28,52,55,83,27.0,2029,2068,271758,651892,867931,8235,21431,28752
Abybro,32,29,684,1138,1992,1992,2015,2015,454,934,2019,2862,54,92,750,839,26,37,24,21,60.8,4647,4737,325007,1040562,1268228,10156,44546,56897
Bandholm,30,21,15,21,1986,1987,1989,1989,226,305,291,300,31,34,42,42,18,38,30,31,5.6,423,431,64856,183588,261662,2162,7013,10008
Helsingor,29,20,52,24,1995,1993,2000,1998,191,636,281,442,49,124,63,90,12,67,40,67,21.5,1613,1644,70738,247173,349303,2439,9345,13064
Vordingborg,29,21,27,42,1993,1995,2004,2005,225,449,452,487,36,66,102,107,17,37,36,37,9.7,731,746,103601,297971,422354,3572,12394,17070
Assens,28,27,34,46,1990,1991,2002,2002,421,487,555,558,42,55,77,78,38,117,68,63,15.1,1139,1161,138164,383809,538142,4934,16212,22326
Akirkeby,27,21,199,315,1990,1990,2004,2005,250,1068,3993,4846,32,95,741,753,61,227,46,40,30.4,2304,2349,166717,451925,674840,6175,26239,34025
Thorsminde,26,22,213,231,2001,2002,2007,2008,327,646,541,535,49,71,195,188,34,37,63,63,49.7,3761,3833,363642,891528,1012346,13986,35429,40608
Stege,26,16,28,32,2000,1991,2008,2007,298,320,400,414,47,55,113,105,30,54,110,97,16.9,1268,1293,49580,138887,174440,1907,6512,8137
Ballen,26,26,3036,5290,2009,2009,2013,2013,788,2462,4013,4100,70,238,895,901,32,72,53,53,291.6,22346,22775,2704945,6015805,6742898,104036,276854,343357
Kleppen,25,19,16,21,1991,1991,1990,1991,320,416,401,406,46,59,77,76,23,27,27,28,5.6,423,431,66666,191254,274846,2667,8692,12501
Gilleleje,25,25,191,272,1999,1999,2009,2009,443,729,802,729,51,70,133,115,22,55,108,128,33.6,2539,2587,174207,498252,666946,6968,27364,35249
Sjaellands Odde,24,20,651,1166,2004,2005,2009,2009,409,838,1252,1291,41,92,332,345,14,28,34,34,73.1,5534,5641,594693,1390515,1590441,24779,69953,87020
Sundby/Mors,23,10,13,17,1988,1989,1988,1989,280,327,349,343,44,50,59,59,23,18,21,22,4.5,336,342,52841,151591,217847,2297,7489,10770
Ensted,22,12,117,212,1998,1998,2013,2013,201,413,624,648,34,51,72,72,44,49,31,29,14.3,1072,1093,92079,237036,307156,4185,14430,18260
Sonderborg,21,8,1,1,1937,1939,1981,1970,61,211,306,186,31,49,116,107,19,104,227,210,13.5,1015,1035,23587,41988,49744,1123,2317,2954
