int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pruchten,2,2,1992,1992,1998,1983,706032,256087,1840,1840,444,142,7,561
Spyck,1,1,2007,2007,2007,2007,149940,210979,81,81,81,81,0,3
Schulau,13,6,2005,2003,2004,2005,204365756,82293604,902,556,638,468,37,2833
Oldenburg,12,2,1985,1984,1985,1985,7041725,7037317,368,314,362,361,3,222
Neuharlingersiel,2,2,1980,1980,1981,1981,228116,54589,214,214,268,239,3,206
Stuttgart,4,1,2018,2018,2018,2018,5037613,6784663,297,297,303,303,2,136
Wyk Auf Fohr,23,13,1989,1988,1994,1992,48536371,12553033,336,2016,1948,633,32,2408
Oldersum,3,3,2000,2000,1992,1991,1137844,1704800,882,727,726,837,8,590
Koblenz,1,1,2018,2018,2018,2018,37580,3416,569,569,569,569,0,14
Sulzberg,1,1,2007,2007,2007,2007,31139696,60831462,526,526,526,526,2,176
Edingen,1,1,1993,1993,1993,1993,11497974,12620148,1569,1569,1569,1569,61,4576
Stahlbrode,7,7,1997,1997,2005,2006,9823071,16137899,499,452,94,82,2,172
Homberg,2,2,2010,2010,2009,2010,2245369,2157063,492,492,493,450,1,69
Kolenfeld,1,1,2009,2009,2009,2009,497176,742926,203,203,203,203,0,10
Thune,1,1,2009,2009,2009,2009,766437,1145280,313,313,313,313,0,15
Sturzelberg,65,6,2006,2001,2005,2006,31762110,39346079,379,180,293,290,12,915
Huckingen,10,6,2003,2003,2004,2004,2672081,3399499,120,125,144,142,1,75
Rechlin,1,1,1998,1998,1998,1998,9395762,11120783,1120,1120,1120,1120,3,256
Dormagen,24,4,2009,2009,2009,2009,26756568,23083447,554,375,472,477,20,1485
Hochdonn,3,3,2002,2002,2003,2003,2163517,2954017,426,393,569,593,1,54
Liepgarten,1,1,1961,1961,1961,1961,16065,25516,126,126,126,126,1,59
Lienen,1,1,1997,1997,1997,1997,1101645,1630775,387,387,387,387,0,28
Motzen,5,5,1997,1997,2014,2014,55317792,95707698,347,505,735,746,6,490
Leipheim,1,1,2019,2019,2019,2019,32955738,31932582,218,218,218,218,1,54
Berggiesshubel,1,1,2019,2019,2019,2019,12600723,12209517,83,83,83,83,0,20
Bensersiel,4,3,1985,1979,1986,1988,767365,99606,327,417,532,293,3,215
Wipperdorf,1,1,2000,2000,2000,2000,115467,158522,50,50,50,50,0,2
Landkreis Ammerland,1,1,2013,2013,2013,2013,34926759,59925776,1057,1057,1057,1057,3,260
Wischhafen,2,2,1928,1928,1903,1903,75600,113132,180,180,141,143,0,32
