dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,1699,114,1998,2000,2001,2000,813332435,475368456,173,530,218,206,1148,86194
Service - other,2797,176,1994,1992,1999,1997,2993637953,3322685616,163,469,670,729,2183,162183
General cargo,2463,756,1990,2001,2001,2001,839350451,1131830372,109,124,130,127,365,27427
Oil tanker,708,77,1993,2004,2004,2004,489842409,813045887,113,123,97,96,485,36530
Service - tug,2456,152,1995,1997,1999,1998,203436877,127226301,146,260,236,230,878,65947
Bulk carrier,347,214,2008,2009,2010,2010,1669883021,2979923950,88,149,150,153,253,19189
Chemical tanker,1175,358,2006,2007,2007,2007,924754296,1417676633,95,105,116,116,694,52364
Container,1681,419,2008,2009,2012,2011,8722694191,9393013315,118,106,112,112,1664,125506
Ferry-pax only,618,41,1977,1971,1985,1979,268774337,39888251,271,2889,920,736,502,37687
Vehicle,376,226,2008,2008,2009,2008,2508437414,838342928,121,125,122,122,252,18972
Refrigerated bulk,10,7,1990,1990,1990,1990,5098191,4573566,101,134,149,148,6,431
Miscellaneous - fishing,1307,87,1983,1983,1999,1994,165774000,65410430,175,289,285,322,519,38972
Cruise,103,26,1959,1977,1997,1990,348283397,44119980,136,164,182,169,214,16190
Liquefied gas tanker,227,59,2004,2006,2005,2005,464258341,495879049,72,93,236,247,209,15489
Ferry-RoPax,333,20,1996,1994,1998,1996,762858966,143931443,285,900,499,449,535,39887
Ro-Ro,385,40,2004,2006,2007,2007,300276317,218902248,111,121,90,103,285,21399
Yacht,35,3,1943,1950,1936,1943,10264809,4416139,234,215,431,274,6,427
