int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,307,147,2008,2009,2009,2009,9538487547,15849413189,801,1791,1496,1517,1968,152070
Refrigerated bulk,380,120,1997,1995,2000,2000,11385503273,11986344924,2283,2616,2769,2744,5201,395826
Bulk carrier,415,362,2012,2012,2012,2012,23790789537,40307363914,1163,1926,1876,1860,2276,176102
General cargo,162,99,2006,2008,2010,2010,3808761444,5626547577,1132,1567,1606,1618,538,41347
Oil tanker,293,122,2007,2007,2009,2009,26049545762,47604159535,834,1799,1970,1999,3607,278861
Container,997,161,2007,2008,2007,2007,35473798682,41164551051,754,1095,1100,1093,5466,422690
Vehicle,164,123,2008,2008,2009,2009,14309580835,4761750820,780,1420,1463,1483,792,61311
Ferry-pax only,5,5,1986,1986,1973,1973,9389861,3117908,102,202,538,603,14,1044
Cruise,115,49,2000,1998,2000,1998,1116744239,131297761,150,2231,781,786,1542,116433
Offshore,6,4,1991,1998,1980,1980,56280258,40550141,597,874,2699,2505,19,1438
Service - other,22,19,2003,2002,1991,1992,433791309,401694013,843,1287,1364,1058,108,8236
Miscellaneous - fishing,115,51,1984,1984,1993,1993,1853961604,1738874677,1745,9555,9559,9111,870,65358
Liquefied gas tanker,28,9,2012,2012,2012,2012,2841219552,3391882613,2484,2008,2268,2271,447,34522
Service - tug,24,14,1977,1982,1989,1991,11287492,7734552,389,1831,1207,1133,30,2267
Ferry-RoPax,2,1,2007,2007,2007,2007,16388657,1384600,704,704,704,704,6,424
