int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,307,147,2008,2009,2010,2010,8476850528,14045288012,775,1450,1330,1344,1632,125910
Refrigerated bulk,381,120,1997,1995,1996,1996,14349833926,15522978407,2752,4518,3476,3540,6300,479727
Bulk carrier,415,362,2012,2012,2012,2012,56224512731,98534343467,1587,3911,4435,4547,4952,383465
General cargo,162,99,2006,2008,2011,2011,5359328744,7951696400,880,2104,2260,2286,706,54353
Vehicle,164,123,2008,2008,2008,2007,23940864013,7770686051,992,2426,2448,2420,1330,103014
Oil tanker,293,122,2007,2007,2009,2009,38548125762,70911323187,1891,2416,2915,2977,4802,370164
Container,997,161,2007,2008,2008,2008,43487069043,51245712993,762,1681,1349,1361,7091,548227
Cruise,116,50,2000,1998,2000,1999,1062424307,120496079,118,439,743,721,353,27122
Offshore,6,4,1991,1998,1980,1980,29206567,20820992,235,527,1401,1286,8,620
Ferry-pax only,5,5,1986,1986,1973,1973,11009577,3640835,170,281,631,705,2,152
Service - other,22,19,2003,2002,2003,2003,366241829,391029775,815,1587,1152,1030,103,7831
Miscellaneous - fishing,115,51,1984,1984,1985,1985,1329092128,1372281245,878,8465,6853,7190,724,54357
Liquefied gas tanker,28,9,2012,2012,2012,2012,2419106943,2857072221,2353,2069,1931,1913,320,24702
Service - tug,24,14,1977,1982,1984,1984,12845234,9161634,392,912,1374,1342,33,2475
Ferry-RoPax,2,1,2007,2007,2007,2007,18278556,1544269,785,785,785,785,6,473
