dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,129,50,1997,1996,1998,1998,158945671,174896035,110,128,112,112,272,20449
Oil tanker,1739,46,2003,2005,2002,2002,3243272493,5373929668,137,300,271,280,2354,179768
Vehicle,21,21,2008,2008,2007,2007,235832841,77458333,167,194,194,195,14,1081
Ferry-pax only,410,5,1988,1986,1973,1972,128965565,25573950,149,155,203,205,119,8907
Bulk carrier,65,54,2011,2011,2009,2009,203628344,333577372,73,122,120,120,32,2467
Chemical tanker,635,69,1997,2009,2004,2004,1174498330,1880855341,129,183,233,232,627,47936
Service - other,126,9,2008,2003,2009,2009,1026246793,1525913904,195,2153,1352,1231,262,19948
Container,411,75,2003,2006,1999,1999,6537507311,7598511754,118,277,486,483,1161,89629
Miscellaneous - fishing,37,15,1988,1988,1990,1992,757074867,649998500,2790,12029,10419,10263,379,28464
Cruise,1647,33,1998,1998,1998,1998,492940093,190700255,158,182,202,220,1675,125859
General cargo,120,16,1995,2005,1997,1997,154440678,205137609,125,190,267,260,78,5961
Service - tug,43,8,1982,1980,1975,1974,10168282,7376816,302,796,947,1037,65,4880
Offshore,18,3,2014,2004,1994,1997,11563408,9289072,592,3475,1020,1102,67,5008
