int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ro-Ro,6,4,2002,2002,2002,2002,787679706,449996145,5283,5558,5650,5650,156,12052
Miscellaneous - fishing,141,97,1993,1993,1992,1992,1773459691,1402959139,7866,9089,8658,9007,1226,92121
Cruise,43,21,1998,1997,2002,2000,1617880333,169546850,682,921,780,830,430,33194
Refrigerated bulk,30,16,1990,1993,1992,1992,630597718,661536558,1358,2985,2085,2156,365,27688
Service - other,24,7,2000,2000,1997,1997,235708877,115526502,1677,1720,2352,2317,99,7547
Miscellaneous - other,2,1,1989,1989,1989,1989,55732256,15017467,4320,4320,4320,4320,22,1637
Chemical tanker,11,2,2009,2009,2009,2009,177310673,254989087,1676,2934,4052,4057,81,6145
Oil tanker,5,3,1999,2001,2004,2004,361197141,596983552,2255,2902,2953,2836,72,5487
Ferry-RoPax,3,2,2005,2006,2004,2006,28977442,5762461,1106,3993,884,1981,18,1385
General cargo,21,3,2000,2008,2001,2001,74081396,95712549,1114,2246,1397,1352,28,2137
