int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1737,1194,2006,2008,2010,2010,121223736514,214972736549,1287,2352,2397,2428,11142,861316
Liquefied gas tanker,425,179,2007,2009,2011,2011,34967909254,31807063474,1037,2460,2439,2311,4863,331076
Oil tanker,991,585,2007,2008,2008,2008,177988437448,335064006634,1249,2171,2168,2185,13847,1071811
General cargo,2198,953,1994,1997,2000,2000,19869287660,26873003054,829,1388,1541,1508,4808,367445
Chemical tanker,837,524,2007,2008,2009,2009,22541914103,36377888806,836,1518,1440,1445,4427,341623
Container,2391,520,2005,2006,2008,2008,178448726856,197192793860,664,1258,1498,1473,20595,1593497
Cruise,44,27,1999,1999,2003,2002,2072982296,242759491,513,1220,1376,1364,506,39157
Offshore,114,76,2005,2005,2008,2008,1392193331,1320989193,481,1366,1608,1573,492,37153
Ro-Ro,423,46,1995,1998,2006,2006,4889538765,3132292438,253,1244,775,813,1032,79382
Vehicle,212,105,2005,2007,2008,2007,17106211253,5862115670,632,2176,1627,1622,1087,84198
Service - tug,203,147,2001,2001,2003,2000,267739836,247530215,538,1223,1103,1163,297,22288
Ferry-pax only,2,2,1992,1992,1966,1966,245214374,51147036,21221,21221,34229,38198,82,6333
Service - other,57,36,2001,2001,2002,2002,463669396,593914265,870,2067,2000,2299,195,14771
Ferry-RoPax,434,14,1992,1989,1985,1987,2171403502,653106774,174,1633,351,331,1059,80288
Refrigerated bulk,13,9,1991,1991,1991,1991,109269352,114204957,752,972,1129,1128,81,6091
Miscellaneous - other,2,1,1972,1972,1972,1972,28382276,47309788,692,692,692,692,11,854
Other liquids tankers,1,1,2014,2014,2014,2014,155525978,215874000,5507,5507,5507,5507,15,1131
