Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,152,66,2870,3640,2005,2005,2001,2002,640,1911,2359,2258,74,260,679,695,43,120,136,124,512.3,39391,40148,2288860,7521893,10814640,15058,74186,99043
Liquefied gas tanker,107,52,38299,32350,2011,2012,2013,2013,2393,5388,6391,5966,249,366,515,510,29,45,32,33,4763.5,292189,297799,8209621,56879508,48004889,76725,661438,1015879
Oil tanker,104,84,33810,63240,2008,2008,2009,2010,4469,5032,4762,4759,398,494,762,747,28,70,62,62,2982.3,230299,234721,26649185,50477777,57620368,256242,651740,799202
Bulk carrier,77,59,6021,9923,2007,2007,2006,2006,3139,3710,3572,3562,349,410,555,555,20,74,52,51,575.3,44475,45329,4560137,10770050,15032478,59223,227743,282581
Container,76,22,1250,1568,2004,2005,2003,2003,167,452,535,548,38,338,280,285,43,97,53,54,342.6,26258,26762,1399429,4765649,5410712,18414,67880,81443
Chemical tanker,74,29,4219,6918,2009,2009,2013,2013,770,1941,3518,3571,66,196,387,386,39,157,48,46,614.9,46420,47311,1777590,10700026,12414262,24021,168989,207030
Service - tug,73,40,34,33,2005,2004,2005,2005,140,275,288,298,60,104,130,128,28,86,319,345,31.3,2354,2399,838646,1983144,2655323,11488,29665,40053
Service - other,63,17,416,206,2011,2007,2007,2005,298,2251,4364,3761,67,440,1907,1748,19,56,136,143,67.8,5176,5276,1438892,2952291,3181272,22840,50822,57385
Ro-Ro,32,17,306,166,2006,2007,2009,2009,239,413,416,422,34,121,171,190,35,48,24,25,107.7,8179,8336,193820,491324,450481,6057,14300,15815
Refrigerated bulk,13,9,44,49,2000,1999,1995,1996,77,708,449,450,9,76,198,199,22,39,37,37,29.0,2196,2238,143946,314528,354286,11073,23596,25476
Vehicle,4,2,281,105,2011,2012,2011,2011,88,88,1175,1176,16,16,311,311,32,32,8,8,15.0,1159,1181,106087,467732,541681,26522,100810,108493
Miscellaneous - fishing,3,2,9,11,1989,1987,1982,1982,207,1532,2559,2772,63,160,261,262,46,92,149,150,4.1,316,322,79771,176947,201171,26590,62579,74184
