Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,578,18,173,178,2004,2005,2004,2004,87,661,162,165,26,468,277,276,8,176,59,57,112.8,8486,8649,4564202,10792965,14451196,7897,20390,27530
Ferry-RoPax,133,2,50,14,1987,1984,1986,1983,150,376,212,262,16,19,38,42,59,78,115,141,83.3,6252,6372,296995,655258,860774,2233,4955,6722
Service - other,90,5,83,49,1994,1999,1998,2004,144,1639,255,363,20,314,305,357,54,50,118,131,65.6,4927,5022,341548,700782,755135,3795,8444,9535
Ro-Ro,81,8,87,54,2007,2006,2006,2007,144,163,173,171,18,18,20,23,80,43,63,88,173.8,13302,13557,88730,418623,255410,1095,2623,3261
General cargo,71,19,104,159,2001,2006,1995,1993,156,230,232,250,19,27,26,28,32,78,210,214,51.6,3905,3980,213150,637339,885086,3002,12489,15904
Container,45,12,220,264,2006,2006,2007,2007,154,160,160,160,12,14,14,14,36,32,35,35,59.3,4577,4665,214083,612405,689419,4757,14880,17400
Ferry-pax only,37,3,41,13,1991,1996,1979,1980,443,475,1453,1387,20,15,73,72,149,125,545,580,40.5,3040,3099,1093346,2226701,2804955,29550,68717,90592
Chemical tanker,28,6,38,58,2007,2007,2007,2007,160,159,163,163,14,15,17,17,33,36,34,34,26.1,1976,2014,69285,196885,233211,2474,7756,9093
Liquefied gas tanker,17,4,26,30,1995,2004,2005,2004,162,269,305,297,31,234,221,221,96,65,96,98,120.1,9027,9200,22739,65880,72753,1338,7323,9630
Bulk carrier,15,5,45,73,2008,2006,2005,2005,161,251,219,224,17,32,38,40,265,243,252,249,12.0,912,929,41654,100157,138207,2777,10457,13116
Oil tanker,2,2,13,24,2002,2002,2008,2008,123,123,137,142,235,235,387,395,226,226,383,390,11.4,880,897,13147,26293,29986,6574,15951,19963
