Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,152,67,2451,2972,2005,2005,2001,2002,567,1761,1979,1822,62,196,529,506,32,101,123,129,458.3,35233,35909,2081954,6725849,9633155,13697,65117,86734
Oil tanker,109,89,32561,61452,2008,2008,2011,2011,3525,4035,4459,4502,388,489,605,603,41,46,42,42,2248.3,174011,177352,23575899,44884700,50449141,216293,560643,683383
Liquefied gas tanker,106,51,33445,28514,2011,2012,2013,2013,2380,4617,5662,5344,202,350,517,512,27,34,35,36,3817.6,236959,241509,7288615,50180335,42410466,68761,590432,905924
Bulk carrier,84,63,2629,4326,2007,2007,2007,2006,586,1330,1418,1410,74,229,424,426,290,285,187,187,360.9,27851,28386,2025507,4801733,6727657,24113,92977,115607
Chemical tanker,74,29,4208,6907,2009,2009,2013,2014,784,2172,3513,3570,153,262,414,418,30,103,58,53,560.1,42327,43140,1911478,11013599,12825686,25831,173550,212914
Container,71,21,1704,2093,2004,2005,2004,2004,658,660,764,767,44,47,94,95,34,51,43,43,319.3,24675,25149,1762415,5491904,6204336,24823,84077,99573
Service - tug,70,39,46,42,2004,2004,2004,2004,203,611,412,400,74,623,1436,1287,20,49,124,121,44.3,3330,3394,1062194,2511769,3363123,15174,39183,52903
Service - other,59,14,226,137,2011,2007,2002,2001,287,3478,3325,3475,61,349,162,168,5,266,1865,1734,55.9,4254,4336,955567,1960614,2112680,16196,36039,40693
Ro-Ro,32,17,535,281,2006,2007,2008,2008,581,699,727,715,40,60,108,106,16,32,20,21,84.8,6526,6651,312164,666924,693955,9755,22972,24819
Refrigerated bulk,14,10,113,125,1998,1998,2005,2005,817,874,1097,1101,52,73,87,88,2,60,21,21,57.3,4374,4458,370246,809006,911269,26446,56356,60848
Vehicle,4,2,130,48,2011,2012,2011,2011,610,610,544,544,50,64,56,56,6,6,4,4,8.5,662,675,49022,216135,250307,12256,46583,50134
Miscellaneous - fishing,3,2,3,3,1989,1987,1985,1983,576,1143,707,616,53,238,261,127,19,32,39,45,5.0,376,383,17735,39339,44725,5912,13913,16493
