int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Sarpsborg,122,62,1992,1996,1993,1993,119280405,169359009,435,422,408,412,61,4615
Askoy,9,8,1992,1991,2001,2002,160241619,21485978,552,445,543,535,49,3653
Brandasund,6,6,2002,2002,2004,2004,7150490,9720107,360,384,439,449,2,168
Ingoy,6,6,1996,1996,1995,1994,92787187,50007318,4747,4803,4157,4261,23,1742
Hellvik,38,25,1996,1997,1998,1997,23011834,33782229,299,338,344,348,8,586
Lillesand,39,31,1998,1998,2003,2003,55376104,77330162,496,571,688,683,18,1350
Greaker,29,14,1998,1999,2000,2001,55249680,74697484,485,582,537,602,21,1571
Fiska,35,13,1997,2000,1998,1998,46135634,67903927,480,440,519,512,18,1375
Sunde,2,2,2002,2002,2012,2012,652395,1026331,109,109,98,189,0,21
Sand,2,2,2007,2007,2005,2005,3206002,4697794,432,432,447,443,1,77
Stord Base,53,40,2007,2006,2009,2008,809840164,1130998461,444,1068,1704,2117,132,10014
Ottersoya,7,7,2008,2008,2006,2006,426886,253128,0,51,23,15,1,105
Gravdal,1,1,2002,2002,2002,2002,1664,1251,6,6,6,6,1,50
Ytroy,19,17,2004,2004,2007,2007,500321912,852924391,619,1072,1807,1857,58,4447
Skudeneshavn,51,36,1992,1995,2003,2003,302025413,489828121,290,444,454,465,69,5199
Loedingen,22,17,1990,1992,1990,1992,51533598,51782451,941,669,886,974,49,3706
Finnsnes,23,19,1998,1998,1997,1996,57663249,87523136,1102,883,1054,1062,26,1976
Utsira,30,28,1998,1998,2005,2005,440773239,729838590,481,608,647,633,51,3863
Floro,28,22,1999,1998,1999,2000,66774256,76639478,651,1240,961,886,31,2346
Ardal,6,4,2000,2002,2001,2001,7215156,10873712,371,373,367,366,2,162
Batsfjord,115,52,1992,1991,1990,1991,190981144,100750893,191,1075,987,781,134,10073
Vaeroy,9,9,1989,1989,1990,1991,22221216,20024524,998,828,1074,1138,12,933
Botn - Sandnessjoen,5,5,2001,2001,2001,2004,12419093,11849623,647,641,578,602,5,400
Aure,62,16,2002,1998,2003,2002,322998849,483141527,759,766,839,847,107,8073
Bjugn,2,2,1988,1988,2004,2004,2068731,2947966,334,334,511,574,2,128
Leirvik,25,23,2002,2001,2014,2014,224176695,529041254,317,464,522,527,58,4361
Gudvangen,17,14,1996,1997,1997,1997,30612322,49704204,559,794,762,743,9,661
Husnes,9,9,2010,2010,2009,2009,379383917,600342894,852,2392,3356,3333,51,3903
Salthella,52,20,1993,1999,2002,2001,53312951,57089177,350,599,644,621,50,3764
Eidangerfjorden,149,14,2004,1998,2004,2004,1887257876,694662351,496,718,369,359,322,24149
Festvag,4,4,2006,2006,2008,2007,24372719,31449881,1248,1201,1238,1229,8,592
Ulsteinvik,16,16,2007,2007,2011,2011,30582515,37231298,680,596,431,518,22,1671
Hjelmeland,2,2,2005,2005,2013,2009,2731081,654382,672,672,763,638,1,109
Heroy,10,10,1987,1987,2013,2013,2554615,504403,15,128,268,157,21,1602
Stordal,1,1,1979,1979,1979,1979,8183694,3357413,9992,9992,9992,9992,15,1095
Lyngseidet,1,1,1979,1979,1979,1979,33949,2199,44,44,44,44,5,366
Trondheim,44,41,2000,2001,1997,2002,225705715,199664336,852,1064,913,867,81,6019
Abelnes,23,22,1997,1997,2007,2006,38331244,39587131,409,538,529,506,21,1599
Tau,22,17,2000,1997,2003,2004,30397142,43534315,685,752,641,668,13,962
Tyssebotn,6,6,1991,1991,1997,1997,15774746,23445692,761,674,808,808,4,314
Raudsand,4,4,1996,1996,1997,1996,5863360,8498533,796,797,797,796,2,165
Stjernoya,7,7,1999,1999,2001,2000,27420217,40507985,1326,1194,1242,1242,8,620
Bogen,1,1,2000,2000,2000,2000,2896327,3922436,1569,1569,1569,1569,1,86
Fosnavaag,29,23,2001,2000,1992,1995,14479595,13549025,339,709,474,443,24,1814
Vadso,7,4,2009,2002,1993,1991,2712257,2148486,455,671,569,600,7,535
Skarsvag,23,16,2016,2016,2017,2016,5655297086,4477946864,1620,2216,2048,2053,616,39655
Bodoe,27,27,1992,1992,1984,1995,44654572,27593879,96,422,705,720,31,2326
Talavag,16,13,2004,2003,2005,2004,383420345,615502236,523,615,666,671,42,3124
Stakkvik,1,1,1988,1988,1988,1988,7165712,5233721,5981,5981,5981,5981,5,347
Austevollrhella,3,3,1991,1991,2006,2005,9340484,1880982,947,821,1210,1137,2,160
Storabo,37,31,1998,1997,2001,2002,45386393,54148338,434,669,736,868,57,4315
Horsoy,21,21,2008,2008,2009,2009,224757624,252521284,619,895,924,960,52,3956
Senjehopen,19,17,1993,1994,1992,1992,55412963,43351860,1199,1205,1239,1174,31,2360
