int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,2092,428,2002,2006,2008,2008,17434729123,27564662059,572,1080,1040,1081,4384,330116
Offshore,1314,366,2009,2007,2010,2010,8774072328,8045377533,309,1518,1080,1035,3140,231919
General cargo,7165,1259,1998,2001,2003,2003,19612393671,27788347046,521,781,790,795,5276,398066
Liquefied gas tanker,1237,156,2008,2010,2010,2011,43409993128,36661004606,609,1530,1863,1728,5856,391661
Service - tug,571,215,2001,2000,2010,2009,1154385029,802138937,388,688,761,801,762,57239
Oil tanker,712,257,2007,2008,2008,2008,44046394453,78363436646,627,1664,1316,1348,5928,450516
Bulk carrier,1255,423,2003,2010,2011,2011,56437309278,103286781174,559,1916,1835,1928,4562,349014
Miscellaneous - fishing,1752,624,1997,1997,1998,2000,3900703828,2444719783,494,1584,1597,1340,2590,194635
Container,888,65,2005,2004,2005,2005,3534510460,4253503218,474,464,451,449,1145,86033
Ferry-RoPax,1159,211,1996,1993,1998,1999,15875769894,2297256894,279,6244,494,671,5163,376903
Ferry-pax only,113,88,1996,2000,2005,2000,130333541,19468188,467,3429,1833,1524,238,17693
Service - other,299,157,1995,1998,2003,2008,1438629823,1206054427,510,1054,1047,772,672,50633
Ro-Ro,549,35,2000,1997,2002,2002,3863074197,2312532750,434,581,389,440,912,68235
Cruise,554,113,1993,1994,2006,2004,17693991131,1819820121,536,576,565,575,4214,317569
Refrigerated bulk,376,36,1993,1990,1992,1992,825372432,725602098,580,1385,682,705,820,61672
Vehicle,200,21,1997,1999,1994,1993,1726789087,600010626,427,514,450,450,238,17933
Other liquids tankers,3,3,2006,2006,2014,2014,48528924,68405866,727,804,840,837,5,398
Yacht,1,1,1911,1911,1911,1911,150213,160997,496,496,496,496,0,0
