int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,2092,428,2002,2006,2007,2007,13609943467,21242162945,558,779,812,833,3906,292672
Offshore,1312,364,2009,2007,2009,2009,5907946750,5268697010,266,962,728,678,2665,199360
General cargo,7162,1258,1998,2001,2003,2004,20231751885,28581239463,513,874,815,818,5605,423966
Liquefied gas tanker,1237,156,2008,2010,2011,2011,45167346481,37317830247,576,1349,1939,1759,6093,406600
Service - tug,569,214,2001,1999,2009,2007,878937165,614934455,347,630,587,620,667,50110
Oil tanker,712,257,2007,2008,2009,2009,31203391816,54598186623,627,1033,932,939,4357,329188
Bulk carrier,1255,423,2003,2010,2010,2010,36565440742,64047036339,559,1754,1189,1196,3421,261150
Miscellaneous - fishing,1738,615,1996,1996,1998,1999,2977713725,1941451236,308,1347,1237,1077,1993,149675
Container,888,65,2005,2004,2005,2005,3533137149,4283099703,477,465,451,452,1092,82045
Ferry-RoPax,1151,203,1996,1992,1999,2000,13206062497,1631402520,275,1909,412,477,3643,265738
Ferry-pax only,109,84,1995,1999,1998,1995,61959622,9224909,370,1341,895,732,143,10716
Service - other,297,155,1994,1998,2002,2007,1384004862,1142745259,481,948,1009,732,675,50936
Ro-Ro,549,35,2000,1997,2003,2002,4146251237,2183040755,434,718,418,415,928,69388
Cruise,552,113,1993,1994,2006,2004,18922800870,1912744151,561,541,605,605,4353,328056
Refrigerated bulk,376,36,1993,1990,1991,1991,711116458,631496943,479,715,588,613,480,36197
Vehicle,200,21,1997,1999,1995,1994,2057726073,681357991,427,781,536,511,277,20892
Other liquids tankers,3,3,2006,2006,2015,2015,186557491,264030779,1355,2391,3231,3232,27,2048
Yacht,1,1,1911,1911,1911,1911,109691,117566,362,362,362,362,0,0
