dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,30152,667,1990,1999,1995,1997,11167424132,13383389588,122,224,187,194,4201,312332
Miscellaneous - fishing,23811,505,2001,1997,2003,2005,11800657911,8643944006,125,1215,362,259,8850,664688
Bulk carrier,1536,90,1989,2005,1997,1998,3128342069,4716508980,218,297,300,307,660,49874
Cruise,2099,108,1998,1995,2007,2004,28109442650,2834424652,207,242,292,287,6931,528566
Service - other,4145,103,1997,1997,2002,2000,2502871983,1251500912,118,568,560,446,1639,122315
Offshore,2847,196,2004,2007,2010,2010,8854263931,8417753973,213,747,685,694,4628,339811
Ferry-pax only,4536,81,2006,2001,2007,2004,1285990656,162218509,337,1294,788,944,2024,151641
Service - tug,4094,143,1995,1998,2008,2007,2486079325,1630588323,160,302,386,379,2317,173904
Liquefied gas tanker,426,39,2005,2009,2009,2009,855708072,868643478,262,342,357,360,337,23742
Oil tanker,1814,71,1997,2006,2007,2007,3865666101,6209224433,138,376,423,425,1257,94649
Ferry-RoPax,7182,201,1998,1993,2003,2002,42114436167,4968129614,194,4341,422,535,12783,938197
Chemical tanker,2310,131,2003,2004,2007,2007,4216972032,5747352788,231,262,345,344,1853,129678
Refrigerated bulk,2799,24,1998,1992,1998,1997,1528286735,1224956007,125,241,168,169,1141,86446
Container,1833,39,2004,2004,2004,2004,2020786924,2415139687,106,124,131,131,722,54629
Ro-Ro,1941,21,2004,1995,2005,2004,2728133421,1888346466,123,251,170,168,1131,82987
Other liquids tankers,1,1,1988,1988,1988,1988,135090,234911,71,71,71,71,0,29
Vehicle,3,3,1991,1991,1995,1995,81024994,27054909,743,521,599,568,5,377
