Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Banana,295,47,651,1088,2001,2006,2008,2008,77,826,1154,1285,14,208,416,413,15,113,68,63,143.5,10938,11148,1189902,2739952,3520109,4034,11397,14515
Matadi,272,82,3639,5476,2006,2004,2008,2008,321,2338,1698,1767,45,207,282,287,57,123,118,115,675.2,51747,52741,4214914,10808383,14404494,15496,54743,67515
Boma,113,40,1497,2033,2002,2000,2006,2007,671,1496,1743,1655,96,243,370,377,56,109,78,83,393.4,30119,30697,1636810,4997259,6562450,14485,58466,73337
