Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-pax only,2285,74,919,103,2005,2000,2003,2002,352,622,631,627,19,35,230,294,12,18,81,72,1189.0,89272,90986,8434794,17178247,21639282,3691,8584,11317
Oil tanker,369,34,571,907,2010,2009,2008,2008,222,423,716,719,79,131,728,693,31,33,132,127,990.9,74488,75918,2289869,1013774,1387226,6206,15966,20232
Container,213,25,1048,1227,1994,2002,2002,2002,315,1583,926,950,36,240,339,324,12,40,95,95,375.3,28560,29108,1349354,3945988,4488903,6335,19902,23216
Service - tug,184,16,110,56,2010,2006,2006,2007,565,835,1225,1125,84,192,2136,1977,14,39,66,63,239.4,17975,18320,1428263,3377412,4522172,7762,20044,27062
General cargo,168,13,80,132,2004,2002,2002,2003,486,990,736,824,48,97,185,189,24,212,415,382,24.0,1818,1853,388274,1115927,1598296,2311,7674,10903
Service - other,107,6,173,182,2011,2001,2008,2007,405,340,589,628,40,149,639,714,20,40,71,76,85.2,6398,6521,1268871,2603445,2805370,11859,26387,29795
Ferry-RoPax,85,4,44,19,1984,1981,1981,1982,225,1267,684,604,32,658,745,636,11,123,225,240,99.9,7501,7645,641903,1388722,1846381,7552,16860,24026
Chemical tanker,11,11,53,78,2010,2010,2007,2007,153,543,359,339,30,76,165,168,14,47,125,114,19.6,1502,1531,63219,227539,280049,5747,23611,29755
Bulk carrier,6,5,91,155,2009,2008,2003,2003,1082,1209,855,825,104,188,295,293,76,209,172,185,20.5,1578,1608,48536,134650,180280,8089,35839,45181
Liquefied gas tanker,3,3,8,7,2007,2007,2009,2009,730,788,748,764,42,43,44,44,59,58,58,58,4.2,318,324,5195,15052,16622,1732,9481,12468
Cruise,2,2,565,68,1994,1994,2005,2000,5499,5499,3338,3688,2986,2986,1688,2344,25,25,33,29,324.2,25110,25593,46148,1029482,1435679,23074,440570,574708
Miscellaneous - fishing,1,1,2,1,1979,1979,1979,1979,3285,3285,3285,3285,29,29,29,29,527,527,527,527,2.1,155,158,8087,17937,20393,8087,19031,22560
