Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,215,20,1888,2403,2007,2007,2008,2008,197,356,367,368,17,26,61,61,26,27,23,23,406.8,31395,31998,2096472,7787660,8636872,9751,37490,44637
Bulk carrier,149,140,5997,10184,2012,2012,2012,2012,954,1417,1411,1415,140,189,374,376,78,98,109,109,589.0,45539,46413,3715393,8387097,10655296,24936,90860,108980
Chemical tanker,140,99,3961,6571,2011,2011,2012,2012,871,1117,1051,1052,74,126,248,248,38,61,85,85,670.9,51756,52749,1390977,9526751,10997351,9936,80014,98172
Vehicle,70,59,3560,1150,2009,2009,2009,2009,182,819,875,865,16,71,446,465,10,14,18,18,195.9,15169,15460,1164526,5134311,5946056,16636,63234,68053
General cargo,24,23,872,1337,2008,2008,2009,2009,990,1709,1847,1790,85,174,377,359,27,72,104,106,115.0,8844,9014,558199,1989274,2917717,23258,133551,181187
Oil tanker,16,14,731,1260,2006,2006,2006,2006,248,1388,1340,1342,53,148,398,394,27,45,62,65,108.6,8405,8566,990703,2156892,2501489,61919,173178,207083
Liquefied gas tanker,16,3,661,768,2011,2014,2011,2011,1702,1778,1724,1725,166,186,194,194,36,37,40,41,70.0,5368,5471,536245,1643033,1774413,33515,187858,249677
Miscellaneous - fishing,14,9,95,71,1981,1985,1989,1990,1190,4873,4182,3789,128,699,1498,1449,120,403,357,395,55.1,4135,4214,498146,1104983,1256254,35582,83740,99269
Cruise,4,4,16,2,1995,1995,1993,1992,90,162,175,206,13,18,29,31,10,9,7,6,4.7,362,369,5405,44042,59986,1351,9257,11289
Service - tug,2,2,1,1,1996,1996,1991,1987,947,947,972,989,260,260,182,137,95,95,120,134,1.9,145,148,36792,87002,116491,18396,47502,64135
Refrigerated bulk,2,2,5,6,1992,1992,1994,1994,529,529,530,525,46,46,58,58,170,170,108,110,7.3,551,561,18848,41183,46389,9424,20082,21683
Ferry-pax only,2,2,5,2,1984,1984,1974,1974,500,500,399,394,26,26,38,39,216,216,372,382,2.7,202,206,49115,135391,175102,24557,67631,89472
