int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,18,7,1968,1973,1978,1978,11285998,13904673,232,358,313,313,3,231
Container,1,1,2016,2016,2016,2016,3495962,4648811,350,350,350,350,1,77
Offshore,2,2,1996,1996,1986,1986,13853485,6840663,1324,1324,1697,1712,4,320
Service - other,3,3,2009,2009,1992,1992,7863659,3175682,569,636,1208,1221,4,288
Service - tug,1,1,1975,1975,1975,1975,36866,45011,107,107,107,107,0,9
