int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Dimitrovgrad,1,1,2016,2016,2016,2016,3561573,4736058,356,356,356,356,1,76
Backa Palanka,1,1,2018,2018,2018,2018,21831,1985,331,331,331,331,0,9
Smederevo,5,4,1974,1977,1980,1973,4960876,4533229,203,492,554,487,3,219
Prahovo,12,5,1965,1965,1964,1964,7309462,8717043,225,285,343,328,1,102
Vranje,1,1,1984,1984,1984,1984,22893752,11362681,3661,3661,3661,3661,5,394
Veternik,1,1,1977,1977,1977,1977,243715,325384,99,99,99,99,0,9
Novi Sad,1,1,2018,2018,2018,2018,3323,302,50,50,50,50,0,7
Gnjilane,1,1,2008,2008,2008,2008,4577070,5358330,870,870,870,870,1,49
Bresnica,1,1,1992,1992,1992,1992,3292080,1335408,516,516,516,516,2,114
Dobanovci,1,1,1975,1975,1975,1975,37333,45580,109,109,109,109,0,8
