int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pomalaa,125,87,2008,2007,2011,2011,9873873109,17146280925,2854,3336,2715,2701,958,74043
Ternate,18,18,2007,2007,2010,2010,99361291,45518139,351,1486,1170,885,81,6115
Baubau,64,51,2002,2002,2002,2003,1431694943,2134609762,1292,1506,1414,1439,303,23352
Lobam,273,50,2010,2008,2009,2010,479510108,791634256,43,773,810,947,112,8454
Manggis,50,33,1997,1997,2009,2009,715313784,1311559276,156,663,1500,1601,103,7941
Manado,31,26,2003,2004,2003,2003,919755476,1472983008,1616,1481,1531,1511,141,10806
Bakauheni,98,70,1995,1997,2001,2010,973090585,1152004399,687,1274,1615,2256,317,23950
Belitung,52,31,2002,2001,1997,1997,371572898,604423566,627,1615,1950,2018,105,7998
Sampit,60,47,2008,2008,2009,2009,217712055,388173981,1435,2041,2072,2224,86,6452
Senipah Oil Terminal,28,26,2004,2004,2005,2005,812392597,1457035767,503,954,1609,1642,122,9382
Mangkajang,13,12,2003,2004,2009,2009,308980837,549083056,1410,1486,1500,1493,39,3023
Pelabuhan Badas,20,17,2000,2000,2002,2002,185375118,233424316,1368,1670,1858,1759,53,4030
Pulau Laut,52,45,2007,2007,2007,2007,1092707845,1731155919,1444,1607,1763,1757,188,14471
Cikande,4,4,2010,2010,2001,2001,31950945,56106504,174,352,871,875,4,302
Pekalongan,4,4,1995,1995,1996,2001,655556,706232,768,760,648,800,11,832
Komodo,17,16,2003,2002,2000,2000,670211517,81974986,744,813,802,446,158,12210
Kalabahi,10,9,2002,2002,2009,2011,123357262,79566909,606,2203,1906,1278,62,4686
Probolinggo,20,19,2005,2005,2005,2005,968454627,1510562716,1483,1550,1595,1779,124,9543
Anyer Kidul,28,21,2002,2006,2007,2008,2406238972,4651110768,376,1701,2986,3101,169,13024
Samarinda,56,52,2007,2007,2010,2009,121092796,140014420,180,1503,1593,1538,106,7978
Tarempah,37,32,2007,2006,2012,2012,1167395516,1926922479,686,2309,2765,2786,167,12838
Waingapu,7,7,2001,2001,2001,2008,5632272,4557363,397,449,456,446,5,388
Jepara,15,15,2003,2003,2006,2006,583162613,1031526993,1083,1957,1923,1915,91,6955
Tanjung Priok,18,17,2000,2001,2007,2007,375064164,607076376,809,1198,1337,1313,68,5260
Padang,3,3,2008,2008,2009,2009,60140617,87372398,2824,3369,2590,2583,19,1465
Poso,3,3,1992,1992,1988,1988,25682678,34411941,493,1581,1838,1882,6,430
Banyuwangi,2,2,2011,2011,2012,2012,141486,87944,257,257,259,267,0,24
Sape,3,3,2002,2002,2005,2005,141321276,167806891,2980,2647,3668,3672,88,6833
Donggala,32,28,2002,2003,2001,2001,250586371,389519469,1199,2776,2791,3179,87,6642
Celukan Bawang,14,12,1999,1996,2014,2004,578552307,93694999,994,1208,1082,786,110,8520
Kassue,11,9,2002,2003,2001,2000,157827987,245140962,2175,2145,2034,1989,34,2613
Kualalangsa,16,14,2004,2005,2006,2006,1925069603,3617474011,667,1903,3301,3296,114,8768
Ampenan,6,6,2006,2006,2011,2011,393138824,752366185,528,1154,1058,1043,27,2056
Bima,10,10,2004,2004,2001,2003,50272446,60185099,1320,1874,1368,1575,16,1237
Maumere,5,5,2000,2000,1996,1998,19096969,27437116,1360,3430,2053,2506,5,372
Pangkalpinang,34,17,2004,1998,1997,1997,126121659,177441056,353,3610,1652,1489,67,5089
Krueng,9,8,1996,1996,2009,2009,1148658196,2205821823,498,1734,5859,5979,93,7146
Bula,6,6,2003,2003,2005,2005,351630583,635189182,1817,1517,2171,2193,35,2714
Toboali,11,10,2006,2006,1992,1992,36086603,54253585,472,1017,2348,2256,37,2755
Labuanabajo,6,4,2004,2003,2011,2016,6738750,8738434,90,183,100,85,12,943
Palu,11,8,1998,1999,2003,2002,35050695,48894118,1406,1500,1107,1039,19,1450
Inanwatan,9,6,2009,2008,2009,2010,4093193866,3999941763,2948,6097,7523,8082,392,24669
Fak Fak,6,6,2007,2007,2004,2008,14775116,21898052,194,253,113,90,2,170
Panarukan,11,10,1999,1998,2014,2013,391184509,489179785,953,3255,1891,1825,62,4785
Balohan,8,8,2006,2006,2011,2011,2018229068,3867797868,1977,3533,5582,6515,117,9046
Labuha,10,9,2004,2004,2010,2011,451590821,526003908,2502,5488,2471,2419,109,7788
Gorontalo,15,8,1999,2001,1999,2000,23004878,34501362,408,430,449,454,8,587
Salawati,6,6,2006,2006,1996,1992,3305779,5700281,530,3186,1650,5643,9,662
Jayapura,12,12,2005,2005,2008,2008,69460144,57822181,1932,7617,1288,1058,48,3617
Laratunka,3,3,2007,2007,1992,1991,11479349,14844191,231,1995,2733,4472,5,361
Dobo,10,8,1998,2002,2006,2007,32124135,34649197,642,869,1015,912,16,1191
Setagin,7,7,2007,2007,2007,2007,366305235,583371538,1065,1977,2161,2157,46,3579
Tegal,2,2,2014,2014,2013,2013,1294115,1844004,303,303,441,509,6,413
Palembang,1,1,2012,2012,2012,2012,3290,3274,16,16,16,16,0,14
Saumlaki,7,3,1994,2000,1990,1990,13378135,2539471,379,282,401,383,4,324
Kau,3,3,2003,2003,2008,2004,235879095,208769519,8112,8288,4068,2656,61,4607
Lewoleba,5,5,1995,1995,2005,2007,186422710,285287173,1522,4866,3363,3360,22,1694
Kuala Kapus,2,2,2009,2009,2011,2011,1133007,1955507,265,265,430,443,1,64
Pulau Bunyu,2,2,2006,2006,2008,2008,51717493,88917115,1129,1129,1019,1014,6,424
Banda Aceh,2,2,2004,2004,1999,1999,38645541,74084633,650,650,989,992,7,563
Jawa Timur,2,2,1994,1994,2001,2001,80865550,113220746,10145,10145,6016,6298,24,1790
"Palapo, Sulawesi",5,5,2011,2011,2012,2012,224423443,290006627,1378,1786,2125,2722,27,2066
"Pasuruan, Java",1,1,2003,2003,2003,2003,23974677,38367538,1033,1033,1033,1033,4,301
Labuan Bajo,3,2,2009,2004,2018,2018,45664333,75849932,429,509,752,756,6,503
Bengkulu,1,1,2012,2012,2012,2012,185597,140376,942,942,942,942,1,38
Sidangoli,1,1,2011,2011,2011,2011,51822763,99009802,1295,1295,1295,1295,3,247
Uleelheue,4,4,2004,2004,1998,1997,1476129114,2436491325,6190,5178,7879,7988,95,7309
Teluk Beo,2,2,2005,2005,1994,1994,2247160,3625966,1360,1360,873,1038,7,559
Batuampar,1,1,2013,2013,2013,2013,27872,15942,213,213,213,213,0,6
