dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ferry-pax only,8795,130,1997,1998,1996,1997,23993620574,5813539026,335,1982,423,436,7792,586308
Bulk carrier,5937,962,1997,2008,2004,2004,101116988149,177298349849,481,1036,1033,1080,10808,834391
Offshore,454,87,2003,2000,2002,2002,699465957,780582851,523,2074,1179,1384,1047,78662
Oil tanker,12428,509,2003,2003,2003,2003,97197158301,157830292899,381,811,748,772,29823,2279492
Ferry-RoPax,10713,192,1992,1992,1991,1993,17994457907,5849315144,257,1660,469,476,9846,743189
Container,9889,360,2004,2005,2003,2003,74902994687,95490162649,480,619,596,598,17478,1337827
General cargo,11290,789,2001,2003,2000,2000,34437008393,46854586597,508,804,777,779,9196,698382
Service - tug,7501,550,2009,2009,2010,2010,1870713964,1452069592,256,793,575,575,2930,220017
Chemical tanker,4666,523,2001,2006,2003,2003,26937557500,42743292895,481,690,718,718,10162,774893
Service - other,815,96,2000,2004,1999,1998,2272583290,1965678512,545,1924,1111,1099,1423,107268
Ro-Ro,2217,106,2006,2007,1999,2004,5058080419,4508038463,428,965,693,725,5770,435115
Liquefied gas tanker,2642,93,1997,1999,1998,1999,31211512471,28997158954,365,1567,1176,1081,7174,507241
Vehicle,1484,20,1990,1991,1990,1990,8008864465,3560334672,517,594,655,643,1754,133821
Cruise,168,32,2000,2001,2008,2007,2067343025,219573631,272,405,379,389,527,40596
Refrigerated bulk,11,2,1995,1989,1995,1995,10114321,13110610,533,532,712,717,49,3644
Miscellaneous - fishing,50,9,1992,1995,1992,1991,39755038,19338575,554,1033,1160,1202,61,4558
