int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,150,69,1993,1995,1993,1996,1633776273,1625291466,1655,1522,1671,1519,347,26583
Container,110,22,2003,2002,2004,2003,1509400698,1863587922,936,1339,1168,1177,385,29623
Miscellaneous - fishing,109,80,1996,1996,1996,1995,556684500,411498735,5612,7998,7359,7528,556,41808
Bulk carrier,141,132,2008,2009,2009,2009,11842534786,20868690971,2442,2606,2789,2833,973,75271
Chemical tanker,40,37,2007,2007,2008,2008,1173157376,1891928066,1347,1463,1495,1495,252,19294
Refrigerated bulk,21,15,1994,1995,2000,2000,561873341,644494507,4084,4805,5452,5380,329,24987
Cruise,39,33,1994,1994,1999,1997,1422561943,167994857,947,1486,1116,1147,306,23605
Offshore,12,12,1996,1996,2006,2006,493310306,365230162,2750,2730,3101,3127,91,6545
Service - other,18,17,2001,2002,2001,2000,174783380,71919477,1507,2075,2419,1830,82,6143
Service - tug,15,13,2000,2001,2002,2002,31622256,27224628,2142,2012,1979,1991,37,2764
Oil tanker,20,20,2008,2008,2009,2009,4321572182,8138142819,2646,2796,3163,3171,490,37911
Liquefied gas tanker,23,9,2012,2010,2010,2010,1004096267,1043980886,800,2027,2238,2127,106,7823
Yacht,1,1,1911,1911,1911,1911,446183,478215,1473,1473,1473,1473,0,0
Ferry-pax only,3,2,1943,1955,1984,1967,7251036,729585,2336,2355,2752,2398,5,400
Ferry-RoPax,5,4,2000,1999,2000,1997,90486361,7413401,1436,2004,2572,2647,56,4231
Vehicle,1,1,2006,2006,2006,2006,31054191,9940015,506,506,506,506,1,114
Ro-Ro,1,1,1979,1979,1979,1979,777003,508728,199,199,199,199,1,105
