port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Porto Grande - Porto Da Praia,551,68,2000,2000,2003,2004,620576276,608485529,250,583,237,233,488,36802
Sao Vicente - Porto Da Praia,57,11,2002,2000,2006,2007,29759059,40686178,265,289,297,290,45,3360
Porto Grande - Sao Vicente,17,5,2008,2007,2010,2010,10584727,14553547,232,325,395,391,30,2271
