dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,218,15,1989,1997,1994,1996,99776879,103263852,255,279,303,268,48,3645
Chemical tanker,152,4,2009,2007,2008,2008,89596400,122688293,280,263,359,356,204,15351
Container,111,19,2003,2002,2004,2004,246079989,302766149,174,207,187,187,92,7031
Cruise,16,12,1998,1997,2003,2000,94055006,9944214,171,178,172,172,30,2302
Miscellaneous - fishing,9,5,1997,1996,1999,1997,18783681,10535077,1851,4679,4430,3703,34,2527
Bulk carrier,6,6,2008,2008,2009,2009,25606320,41192916,180,209,213,211,4,278
Service - tug,4,2,2004,2008,2001,2000,544483,323575,374,282,345,349,5,342
Ro-Ro,1,1,1979,1979,1979,1979,819821,536762,210,210,210,210,1,86
Oil tanker,43,1,2012,2012,2012,2012,41783292,62040805,276,276,404,404,58,4357
Liquefied gas tanker,2,1,2012,2012,2012,2012,3014684,3761467,209,209,209,209,1,78
Service - other,1,1,2011,2011,2011,2011,161546,85736,338,338,338,338,0,19
Ferry-RoPax,56,3,2008,1998,1998,1994,39679690,5609903,361,879,889,971,74,5532
Offshore,6,1,1982,1982,1982,1982,1018272,976504,383,383,475,475,12,885
