int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ferry-pax only,53,3,1992,2001,1991,1991,40272000,7225067,153,176,181,181,14,1025
Miscellaneous - fishing,607,91,1988,1988,1991,1991,778155236,446762366,157,1428,1086,1151,358,27035
Chemical tanker,23,3,1989,1989,1991,1991,7453221,10947624,172,210,307,297,15,1120
Oil tanker,22,13,1990,1989,1994,1995,92086277,133487249,765,1513,1578,1562,34,2590
Refrigerated bulk,70,38,1989,1989,1990,1990,289647273,300834663,720,1223,1016,1026,226,17096
Service - other,5,3,1994,1992,1991,1992,12392421,7663316,90,4554,449,373,12,892
Ro-Ro,17,2,2004,2001,1995,1995,6677590,7755553,106,333,326,311,11,794
Service - tug,2,2,1994,1994,1982,1985,1055578,415055,439,439,334,185,1,61
General cargo,181,15,1990,1990,1992,1992,38278682,44286306,128,268,267,251,22,1686
Bulk carrier,21,2,1994,2002,2007,2008,55328744,93294525,767,896,931,979,14,1059
Container,1,1,2014,2014,2014,2014,509127119,508096664,3578,3578,3578,3578,42,3273
