Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,421,17,83,70,2005,2005,2007,2008,101,253,125,122,23,380,249,183,16,48,93,87,79.5,5966,6081,1781833,4213499,5641647,4232,10929,14756
Service - other,113,7,7,6,1997,1997,2000,2002,159,384,190,201,41,103,238,289,29,67,67,47,41.6,3124,3184,42825,87868,94683,379,843,952
Chemical tanker,71,9,65,106,2005,2007,2005,2005,63,88,99,98,11,95,83,84,50,87,94,95,111.8,8416,8577,126273,358827,425033,1778,5575,6535
Container,23,14,131,163,2007,2007,2008,2008,120,207,163,160,57,103,97,96,61,61,69,68,63.9,4928,5023,136946,429774,486440,5954,20369,24180
Bulk carrier,16,14,78,136,2005,2005,2006,2006,131,176,172,171,102,293,350,351,110,168,207,206,28.1,2169,2211,60230,122102,154611,3764,12362,14516
Miscellaneous - fishing,16,1,0,0,1991,1991,1991,1991,298,298,440,440,26,26,280,280,28,28,91,91,6.1,457,466,297,658,749,19,44,52
General cargo,13,10,8,11,1999,1996,2007,2007,110,101,100,98,12,103,97,109,22,43,55,53,6.6,499,509,12805,38740,54303,985,4131,5360
Oil tanker,3,3,39,72,2003,2003,2008,2008,140,144,144,144,8,10,12,12,93,339,354,349,58.9,4559,4647,25573,49659,53674,8524,21793,27263
Ferry-RoPax,2,1,0,0,1974,1974,1974,1974,86,86,86,86,11,11,11,11,1,1,1,1,0.1,8,8,1492,3229,4293,746,1666,2374
Liquefied gas tanker,1,1,0,0,2014,2014,2014,2014,59,59,59,59,38,38,38,38,52,52,52,52,1.3,100,101,289,837,924,289,1581,2080
