Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,354,99,16040,19646,2006,2006,2007,2007,802,1075,1272,1277,61,92,180,181,32,43,41,41,2177.8,168411,171644,15357113,44350440,49835728,43382,136963,159756
General cargo,258,110,2419,3309,2003,2006,2009,2010,672,1478,1172,1192,63,165,248,249,43,91,77,82,479.0,36743,37448,2659275,8416894,11944786,10307,47516,62392
Bulk carrier,237,217,14311,24271,2008,2008,2009,2008,1813,2315,2291,2286,268,310,427,427,88,129,94,94,1321.2,102180,104142,9855466,21901400,28937894,41584,150797,182013
Chemical tanker,142,51,1741,2805,2007,2007,2007,2007,720,1557,1244,1270,84,213,373,375,60,81,83,83,585.2,44567,45422,2335725,7586212,8981780,16449,59751,71184
Service - tug,119,33,46,40,1998,2006,2008,2008,140,537,312,301,21,261,292,265,23,117,167,168,48.5,3655,3726,1013045,2395546,3207506,8513,21982,29679
Oil tanker,90,77,43247,82472,2009,2009,2011,2011,4372,4710,5256,5289,422,505,724,725,42,64,92,93,3213.3,248599,253372,24497571,44286806,47841288,272195,721631,893259
Refrigerated bulk,84,43,1041,1198,1998,1992,1995,1995,913,2593,1648,1679,72,261,268,272,13,119,92,90,556.4,42298,43110,3555218,7768323,8750286,42324,90192,97380
Ro-Ro,74,26,4098,2164,2006,2008,2007,2008,730,1368,1686,1729,72,96,194,197,44,51,52,51,476.0,36749,37455,2362557,4686664,5160449,31926,75108,80410
Liquefied gas tanker,47,14,7495,6257,2012,2011,2009,2009,686,3771,5857,5548,54,360,821,824,24,38,36,33,1013.6,62795,64001,1575028,10991054,9261462,33511,290201,446211
Service - other,34,6,78,58,1994,1993,1990,1997,113,1551,2404,3596,18,312,786,1186,8,152,180,256,24.2,1859,1894,401977,824769,888738,11823,26308,29705
Vehicle,24,10,4053,1373,2005,2004,2005,2005,4443,3661,3294,3211,296,269,315,306,48,60,52,49,244.6,18898,19261,1390668,6131354,7100733,57944,220247,237034
Ferry-RoPax,24,1,3,1,1974,1974,1974,1974,119,119,112,112,17,17,17,17,74,74,64,64,8.5,636,648,23340,50495,67136,973,2171,3094
Miscellaneous - fishing,6,4,8,10,1994,1990,1983,1982,136,696,1099,1699,32,115,322,331,4,35,100,101,3.5,268,273,68484,151911,172707,11414,26862,31844
Ferry-pax only,1,1,0,0,1983,1983,1983,1983,449,449,449,449,31,31,31,31,37,37,37,37,0.1,9,10,2843,5789,7293,2843,6611,8715
