port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Laem Chabang - Phra Khanong,841,128,2011,2008,2010,2010,1353936099,1726235964,65,139,95,96,522,39490
Nh Prosperity - Phra Khanong,242,133,1998,2002,2003,2003,222554305,300122477,110,162,132,133,116,8755
Sattahip - Laem Chabang,35,25,2000,2001,2006,2005,384040534,484038654,1055,1252,758,857,81,6233
Ko Si Chang Terminal - Bangkok,41,37,2006,2007,2008,2008,99340559,153172280,172,332,226,227,32,2413
Siam Seaport - T S Transport And Logistics,52,35,1997,1999,2001,2002,92299309,123735063,151,252,242,229,46,3459
T S Transport And Logistics - Ko Si Chang Terminal,23,23,2004,2004,2007,2008,65269431,103772911,165,246,244,255,16,1180
Unithai Container Terminal - Sattahip,62,36,1998,1997,1998,1998,99966054,145451607,365,1533,625,594,74,5563
Pattani - Tak Bai Customs House,8,8,2011,2011,2001,2000,7860531,9818916,66,434,1084,1362,4,333
Sattahip - Si Racha Terminal,24,18,1994,1996,2002,2001,65797954,108241593,465,1630,786,774,32,2412
Si Racha Terminal - Benchamas Terminal,9,5,2004,2005,2008,2008,272467985,486142105,622,1082,710,703,23,1795
Benchamas Terminal - Sattahip,163,45,2011,2008,2008,2007,416064021,525519906,635,1491,1187,1228,205,15459
Siam Seaport - Bang Saphan,48,16,2006,2000,2007,2007,217533977,229639027,1272,953,1686,1448,95,7209
Bang Saphan - Laem Chabang,35,11,2004,2001,2004,2004,190074747,214138141,873,1811,2620,2563,76,5738
Laem Chabang - Map Ta Phut,66,46,2000,2001,2007,2008,554723662,894791790,470,735,930,953,112,8586
Siam Seaport - Si Racha Terminal,256,77,1994,1995,2003,2004,752441242,1232727414,633,995,1080,1064,513,38722
Benchamas Terminal - Bongkot Terminal,43,37,2003,2003,2003,2003,422725047,658485371,692,902,1200,1232,50,3847
Songkhla Harbor - Pattani,22,16,2001,2004,1996,1995,64847315,78994350,327,725,400,417,42,3195
Bongkot Terminal - Rayong,7,7,2009,2009,2007,2007,77280401,111632668,1099,993,1230,1243,17,1333
Sattahip - Bangpoomai,45,29,1996,1997,1995,1996,118695710,166287618,951,1243,983,1181,106,8030
Bangkok - Laem Chabang,98,42,2005,2007,2003,2002,286707557,435533051,120,405,223,237,84,6384
Bangpoomai - Laem Chabang,96,61,2005,2005,2004,2003,393771182,513929339,194,440,301,308,113,8607
Phra Khanong - Ko Si Chang Terminal,87,66,2003,2005,2006,2006,142000822,192396801,100,216,169,170,46,3501
T S Transport And Logistics - Laem Chabang,175,56,2004,2006,2003,2003,413130182,536206998,77,302,154,154,176,13301
Siam Bangkok Port - Ko Si Chang Terminal,31,24,1999,2001,2003,2003,29478924,40134153,107,208,192,187,16,1234
Sattahip - Khlong Yai,21,17,2006,2004,2005,2006,113406052,185241509,640,927,869,877,21,1640
