int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1419,506,2007,2008,2008,2008,17969885867,28735148050,972,1535,1402,1407,4773,366233
General cargo,1360,661,2006,2006,2007,2007,24356368127,33768906967,1510,2014,2032,2031,4549,348893
Bulk carrier,1699,1247,2009,2009,2009,2009,93076629351,158245203568,1472,1979,1968,1962,8302,642175
Liquefied gas tanker,643,228,2002,2003,2007,2006,24170216729,22260475069,1198,2088,2349,2301,4125,289456
Vehicle,641,233,2006,2007,2007,2007,57905527762,18853180843,946,2164,1801,1814,3786,293088
Refrigerated bulk,135,70,1989,1990,1990,1989,2513432120,3000029318,4375,4387,4178,4140,2057,155882
Service - other,21,14,1998,1996,2003,1999,125389823,50242391,815,2381,1630,1131,75,5646
Container,4575,624,2006,2007,2008,2008,156128166011,186135886844,961,1319,1238,1233,24243,1871952
Oil tanker,1088,541,2005,2005,2006,2006,84057621296,155709707056,849,1875,1901,1916,7876,607984
Offshore,75,54,2011,2010,2009,2009,989374143,840240073,1002,3339,2370,2339,341,25501
Cruise,184,52,2002,2001,2005,2005,11998117852,1242099831,591,977,819,842,2609,202078
Service - tug,316,178,2011,2009,2009,2009,721861789,633023862,567,2289,2542,2554,586,44009
Miscellaneous - fishing,13,9,1995,1998,2000,1997,95880812,74630857,4298,3418,4356,4495,53,3979
Ro-Ro,3,3,1996,1996,1997,1997,35678501,21259078,865,1110,1154,1092,9,662
Ferry-RoPax,22,5,1984,1987,1980,1981,256720988,54251221,719,3756,1339,1455,52,3923
Ferry-pax only,14,2,1992,1992,1992,1992,74522240,5778066,2805,50215,10583,10583,86,6469
