int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Map Ta Phut,1509,874,2007,2008,2009,2009,60895890149,88390428968,1009,1620,1722,1612,8443,622942
Siam Bangkok Port,259,148,2002,2001,2000,2000,2968906876,3983422029,1168,2233,1498,1424,1184,90203
Ranong,65,32,2011,2009,2010,2010,457380322,599859229,954,1956,1995,2219,161,12148
Phra Khanong,440,228,2006,2006,2006,2006,7211934380,9471050748,1031,1724,1400,1422,1586,121741
Rayong,577,363,2006,2007,2006,2006,27609186880,49693640686,917,1623,2068,2132,2853,219675
Ko Si Chang Terminal,1064,931,2008,2008,2007,2007,73084602028,128037827561,1453,1979,2188,2217,6143,474837
Krabi,43,35,2003,2004,2001,2001,769983516,1292690179,1140,1367,1778,1832,134,10222
Si Racha Terminal,391,300,2007,2007,2008,2008,18217553113,30163953157,1098,1724,1828,1863,2106,162698
Laem Chabang,4588,1259,2007,2007,2008,2008,211980792885,202686221073,1034,1816,1404,1349,26874,2076534
Nh Prosperity,274,218,2003,2004,2006,2006,8263871688,12999686500,1165,1840,1654,1695,1286,98906
Unithai Container Terminal,180,119,2004,2003,2006,2006,2319380983,2979411893,987,2029,1120,1091,651,49748
Siam Seaport,764,452,2005,2007,2006,2007,23328770920,33455514975,1214,1836,1544,1562,3584,275834
Sattahip,339,238,2002,2004,2005,2006,9495819293,11870242056,1372,2771,2010,1956,1672,128102
Ban Talat Takua Pa,31,26,2003,2004,2005,2005,691914764,1018670204,1371,2624,2326,2377,147,11231
Bangpoomai,179,143,2003,2003,2003,2004,2840751209,3910113641,1201,2068,1879,1925,786,60152
T S Transport And Logistics,148,93,2001,2004,2003,2004,2103474487,2872870826,1037,1622,1420,1479,509,39013
Sathun,29,19,2004,2003,2004,2005,95906529,135125813,366,700,803,873,31,2371
Kantang Harbor,32,19,2007,2008,2001,2001,488695234,836646199,984,746,1287,1300,54,4172
Phuket Customs House,191,107,2001,2002,2004,2001,3819255826,2601044856,776,1395,762,1020,865,66690
Siamgas And Petrochemicals,107,97,2003,2002,2001,2001,1487469847,2194602313,1605,2723,1966,1882,562,42816
Bongkot Terminal,81,74,2005,2005,2006,2007,1095391475,1793236653,710,1103,1105,1103,141,10784
Phuket,148,95,2001,2002,2003,2000,3952929626,2441021575,724,1333,705,1159,751,57872
Khanom,51,43,2008,2009,2009,2010,586521618,832085070,621,1223,1430,1666,126,9690
Bangkok,231,163,2004,2004,2005,2006,3036953980,4322521640,983,1935,1591,1556,977,74538
Narathiwat,21,17,2006,2004,2005,2005,103338982,151932464,227,503,936,1019,17,1335
Songkhla Harbor,118,79,2004,2004,2002,2001,1088964055,1450222956,526,1939,1399,1409,350,26604
Tak Bai Customs House,38,31,2007,2007,2004,2004,365289862,568777778,367,906,2427,2755,66,5094
Pattani,55,35,2004,2007,2002,2003,531213352,769168408,582,1008,1207,1279,128,9818
Khlong Yai,38,37,2004,2005,2005,2005,554951605,881998374,1188,1402,1218,1320,92,7084
Erawan Terminal,34,33,2010,2010,2007,2006,437094258,696461900,1050,2932,2262,2290,114,8650
Prachuap Port,22,20,2009,2009,2010,2010,871609659,1475134131,1487,1836,2044,2075,94,7263
Benchamas Terminal,39,39,2008,2008,2009,2009,818558256,1277663577,1287,2182,1532,1439,175,13394
Nakhon Si Thammarat,67,51,2004,2006,2006,2009,1459665163,1423125011,1125,2305,1298,1888,401,30742
Bangpakong Terminal,9,8,1985,1986,1987,1986,95747407,124737951,1397,4760,4715,4888,48,3663
Bang Saphan,18,18,2004,2004,2008,2008,418380695,638378089,2040,2761,2231,2190,73,5607
Phahon Yothin Customs House,3,3,2010,2010,2009,2008,12651130,17406699,1388,1198,1099,1064,7,550
Petchburi Terminal,11,10,1993,1993,1995,1998,134010675,189480730,1485,5476,3101,2673,112,8428
Trang,2,2,2008,2008,2011,2011,13966980,23158852,2096,2096,2943,3001,6,421
Chiang Saen Customs House,1,1,2009,2009,2009,2009,1495427,2523335,288,288,288,288,0,19
Ban Prakop Customs House,9,9,2008,2008,2004,2004,711334641,1289583435,1534,1913,2019,2026,201,15537
Photharam,1,1,1990,1990,1990,1990,44581924,54086760,2948,2948,2948,2948,8,642
Kamphaeng Phet,1,1,2007,2007,2007,2007,9201713,14334798,852,852,852,852,2,163
