int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1419,506,2007,2008,2008,2008,19546100009,31258852471,1060,1656,1525,1531,5098,391298
General cargo,1359,660,2006,2006,2007,2007,27004999410,37795846267,1684,2247,2255,2275,4999,383693
Bulk carrier,1699,1247,2009,2009,2009,2010,129395341131,220415578819,2053,2636,2736,2732,11609,898201
Liquefied gas tanker,643,228,2002,2003,2008,2008,44192915599,39309687895,1487,2614,4294,4064,6357,444537
Vehicle,641,233,2006,2007,2006,2006,72924139370,23681869042,1546,2524,2268,2279,4599,356120
Refrigerated bulk,135,70,1989,1990,1990,1990,2711961173,3315477927,4383,4136,4508,4576,2174,164786
Service - other,21,14,1998,1996,1998,1995,191780978,94206982,922,6424,2493,2121,207,15578
Container,4574,624,2006,2007,2007,2007,161432917425,194121301362,1023,1303,1281,1286,25317,1954798
Oil tanker,1088,541,2005,2005,2006,2006,137818362131,256731288013,1337,2656,3117,3159,11744,907022
Offshore,75,54,2011,2010,2009,2009,1966750779,1698728068,1366,2948,4711,4729,408,29110
Service - tug,314,176,2011,2009,2009,2009,464984243,398512598,569,1538,1648,1615,387,29088
Cruise,184,52,2002,2001,2005,2005,11135774735,1163470457,591,863,760,788,2252,174331
Miscellaneous - fishing,13,9,1995,1998,2007,2003,96528522,61301361,2095,3164,4386,3692,53,3966
Ro-Ro,3,3,1996,1996,1998,1998,25634018,18031199,205,862,829,926,6,483
Ferry-RoPax,22,5,1984,1987,1980,1980,389175148,76424934,523,1304,2030,2049,46,3487
Ferry-pax only,14,2,1992,1992,1992,1992,26736200,2072986,2189,8390,3797,3797,31,2361
