int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,51,34,2007,2008,2008,2008,1476788289,2398013299,929,1729,1814,1822,284,21860
Bulk carrier,107,101,2009,2009,2010,2010,10662998164,19384920602,1298,2370,2868,2950,753,58335
Miscellaneous - fishing,14,11,1989,1986,1986,1986,153196728,65146121,2597,6151,7210,5269,97,7283
Container,118,38,2003,2004,2004,2004,2513741815,3211459877,343,1082,1013,1010,486,37530
General cargo,53,29,2000,2006,2008,2007,608590840,812954739,401,1684,1002,885,134,10296
Refrigerated bulk,25,13,1985,1988,1990,1990,104461019,117245667,627,1189,1237,1208,169,12753
Oil tanker,5,5,2002,2002,2005,2005,122556417,204373176,976,903,948,948,20,1582
Ro-Ro,14,10,2005,2005,2006,2007,431793053,216371130,477,576,560,571,51,3955
Offshore,3,3,1990,1990,2012,2011,66956979,33357598,4187,3735,5851,5058,21,1586
Service - tug,3,3,1987,1987,1990,1989,418424,127926,476,441,492,366,1,39
Vehicle,1,1,2011,2011,2011,2011,29328372,7895934,481,481,481,481,2,146
