,exp_code_str3,exp_name,HS2,description,USD,tonne
78,705,Slovenia,81," Powders, tungsten (wolfram)",695580.433,403.01969499999996
79,705,Slovenia,93," Military weapons, other than hand guns, swords, etc",680674.7200000001,158.264111
80,705,Slovenia,65," Hat-forms, etc of felt, not shaped, no formed brim",680028.783,41.899089000000004
81,705,Slovenia,67," Bird skins and feathers, articles therefrom",554719.6,66.413422
82,705,Slovenia,92," Upright pianos, including auto-players",460431.515,20.431497
83,705,Slovenia,80, Tin not alloyed unwrought,458995.942,42.215211
84,705,Slovenia,36, Propellent powders,452563.17299999995,152.220815
85,705,Slovenia,58," Woven pile fabric of wool or fine animal hair, w >30c",389066.691,78.968616
86,705,Slovenia,66, Garden and similar umbrellas,280861.122,111.450115
87,705,Slovenia,24," Tobacco, unmanufactured, not stemmed or stripped",256484.81,7.943345999999999
88,705,Slovenia,43," Raw mink furskins, whole",208689.685,18.173015
89,705,Slovenia,53," Flax fibre, raw or retted",131895.29299999998,46.092431
90,705,Slovenia,46, Plaits and products of plaiting materials,106657.742,42.238705
91,705,Slovenia,51," Greasy shorn wool, not carded or combed",69802.307,36.322934
92,705,Slovenia,14, Bamboos used primarily for plaiting,7613.997,1.0638930000000002
93,705,Slovenia,01," Horses, live pure-bred breeding",19.719,0.0007860000000000001
94,705,Slovenia,50, Silk-worm cocoons suitable for reeling,0.0,0.0
