Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Saint Kitts and Nevis,190,59,1065,133,2000,1999,2006,2005,79,95,109,98,12,14,14,15,9,12,9,10,257.7,19914,20297,219180,1502813,1882115,1154,7195,8679
Sint Maarten (Dutch part),184,44,464,166,2001,2003,2005,2004,93,122,122,103,10,17,19,13,8,16,9,14,139.8,10768,10975,252875,1038066,1208762,1374,5598,6586
Virgin Islands (U.S.),75,41,977,129,2002,2005,2005,2004,198,203,201,200,16,40,24,23,8,26,11,27,280.9,21525,21938,295220,1535859,1776903,3936,19153,21490
Guadeloupe,66,30,551,58,2004,2003,2007,2007,129,131,140,138,14,15,14,14,10,15,12,17,134.8,10429,10630,131273,882103,1074992,1989,11801,13564
Dominica,52,20,83,42,2004,1999,2013,2010,133,143,144,138,16,21,16,18,20,20,14,24,24.2,1850,1885,78487,251306,314463,1509,5582,7165
Saint Lucia,45,30,482,79,2002,2001,2004,2004,217,219,216,218,16,18,16,17,8,13,9,16,121.5,9385,9565,232948,1029699,1194997,5177,21030,23012
Saint Barthélemy,36,16,47,14,1992,1995,2004,2005,95,160,125,178,12,21,23,64,14,15,12,16,22.8,1740,1774,39105,140146,183943,1086,4013,5038
United States of America,32,19,3088,751,2008,2009,2009,2009,1172,1565,1248,1587,66,127,81,150,8,48,18,75,620.1,47919,48839,1055678,5447483,6309608,32990,165364,186570
Barbados,32,18,627,84,2004,2004,2007,2005,314,331,316,328,24,27,24,26,8,21,9,19,146.6,11342,11560,234052,1066344,1188006,7314,31965,34714
Virgin Islands (British),27,11,77,15,1986,1995,2001,1996,203,206,192,205,28,26,18,25,8,10,9,8,22.9,1766,1800,44060,187114,254751,1632,6941,9178
Trinidad and Tobago,24,13,125,112,2005,2003,2005,2006,444,443,446,450,40,42,40,42,30,40,33,51,40.8,3118,3177,141558,351316,381531,5898,20211,24904
