Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Altamira,1312,643,44866,43910,2008,2009,2008,2008,634,1185,967,874,71,131,172,179,29,57,38,48,5202.7,388709,396172,26819531,83483084,97146879,20442,76995,94506
Veracruz,1251,723,54147,48272,2008,2009,2007,2007,1017,1339,1444,1211,94,158,202,189,31,68,40,54,5626.8,432080,440376,32836706,110583431,131687121,26248,98771,116370
Manzanillo,1098,532,225429,254133,2009,2009,2009,2009,1951,3384,3432,3388,167,286,339,345,27,59,32,35,23445.5,1796898,1831399,132067093,373152971,432917851,120280,424874,511665
Cozumel,1076,88,77294,7156,2005,2004,2007,2006,550,783,641,647,37,157,66,86,9,17,10,10,14489.4,1112912,1134279,10149127,100559735,125555311,9432,82742,99397
Lazaro Cardenas,980,440,117845,127122,2008,2009,2009,2009,1617,2328,2095,2077,109,216,242,258,22,50,39,51,10354.5,801066,816446,59407520,184939211,215707948,60620,225178,266007
Coatzacoalcos,611,317,17904,28292,2007,2008,2007,2007,849,1385,1206,1188,94,173,350,307,41,71,72,73,2906.5,221989,226251,17634880,46763276,54529095,28862,97422,120322
Tuxpan,519,283,13990,16899,2009,2010,2011,2010,776,1039,1064,917,111,162,193,184,38,62,50,56,1939.4,147948,150789,7204775,30424462,35608702,13882,71335,88231
Progreso,416,145,9702,6533,2005,2009,2005,2009,603,995,660,768,50,193,93,157,24,71,33,64,1821.3,138989,141657,4299244,20205710,26928130,10335,54910,71708
Ciudad Madero,360,214,8770,14518,2009,2009,2009,2009,695,859,827,824,133,162,193,194,45,60,56,56,1622.0,123563,125935,5351407,21687669,25406782,14865,74489,91254
Ensenada,332,103,36818,36618,2001,2006,2008,2010,296,3383,1593,4087,38,265,288,327,10,115,27,37,5020.7,386690,394115,23042947,64608474,72893401,69406,226119,258947
Dos Bocas,299,169,42884,81290,2008,2008,2010,2010,867,2559,2395,2445,153,284,642,647,44,69,108,107,4005.9,307238,313137,32200041,62599710,69620687,107692,277176,340353
Tampico,256,163,3889,5711,2004,2006,2008,2008,1045,1416,1418,1405,107,164,261,257,47,77,68,66,724.6,55288,56350,3757365,10760143,15015161,14677,62680,81038
Guaymas,253,215,26618,45104,2010,2010,2011,2011,2640,3800,3818,3868,247,352,495,505,45,78,72,73,2919.6,225228,229553,14325852,53387105,63726222,56624,279757,340963
Punta Venado,163,18,4928,7727,1996,1996,1996,1996,746,617,763,763,67,60,72,72,20,27,24,24,437.0,33385,34026,1943334,5156604,6054933,11922,49183,59704
Yuum Kaknaab,147,118,78645,151522,2008,2009,2011,2011,1607,4757,5973,6063,282,464,917,919,40,83,70,69,5132.3,396456,404068,42018357,74565165,79892659,285839,762357,945376
Mazatlan,126,88,10945,4555,2003,2006,2008,2008,1610,2602,2063,2014,138,254,233,292,12,45,22,40,878.2,67662,68961,4718061,18359757,21604604,37445,138780,155233
Topolobampo,110,97,7647,11834,2011,2011,2011,2011,2329,2809,2817,2821,214,288,373,381,50,140,146,150,941.2,72554,73947,4729650,16490428,19833135,42997,213293,264524
Salina Cruz,104,64,8472,14529,2007,2007,2006,2006,1964,2353,2260,2256,280,334,403,405,45,69,73,73,1642.8,126039,128459,10808511,17870477,24149898,103928,252981,319064
Morro Redondo,84,54,21276,39953,2010,2010,2008,2008,5265,5155,5336,5391,514,499,576,579,84,98,116,118,1313.2,101536,103485,10052403,22416818,26278550,119671,403528,476781
Cabo San Lucas,83,37,7097,1352,2003,2003,2005,2010,827,1363,1010,1850,45,106,93,354,9,14,12,27,1566.0,120698,123015,1901049,10700200,12283850,22904,117590,129302
Puerto Madero,77,18,967,1090,2002,2002,2006,2008,168,915,533,570,13,141,176,211,15,86,76,98,191.1,14754,15037,845051,3052186,3536585,10975,41701,49008
Puerto Vallarta,75,18,8311,842,2006,2001,2006,2006,1116,1152,1112,1113,61,70,62,63,9,13,9,9,1889.9,146085,148890,1003882,11650129,14813083,13385,137159,167801
San Marcos,63,30,5100,8483,2007,2010,2008,2008,2114,3062,2248,2254,190,301,286,287,36,107,83,83,459.0,35313,35991,2698211,6286530,7594856,42829,158760,189450
Rosarito,57,55,3262,5442,2009,2009,2009,2010,1055,1783,1603,1612,175,228,393,396,37,60,64,67,559.2,42670,43490,1888392,7490219,8762865,33130,161458,199202
Puerto Morelos,54,7,492,566,2001,2001,2004,2002,527,1046,953,1419,53,85,139,202,17,75,141,222,97.4,7407,7549,517435,1503784,1946310,9582,30887,40954
Cayo Arcas Terminal,45,39,3672,6894,2007,2007,2009,2009,705,1275,1360,1383,141,191,301,304,44,54,52,52,424.5,32421,33044,3017241,6043219,6742330,67050,170188,209195
La Paz,44,38,3874,6413,2008,2007,2010,2010,2379,2984,3236,3243,352,344,423,424,53,57,63,63,522.3,40169,40941,1779109,9608074,11076878,40434,261943,319956
El Sauzal,41,16,5671,6073,1999,2004,2005,2005,280,3459,2054,4837,41,402,880,914,10,57,107,165,680.0,46332,47221,1897593,8096638,7379847,46283,242232,343342
Rabon Grande/Coatzacoalcos,38,33,1510,2539,2009,2009,2009,2009,996,1461,1465,1494,189,205,316,315,40,58,45,43,224.5,17171,17500,1201582,3892023,4525508,31621,129840,160859
Acapulco,33,24,2695,810,2005,2006,2006,2007,1457,1741,1603,1829,95,136,203,230,8,17,13,16,273.2,21140,21546,952700,4320461,4975528,28870,114032,121842
Salinas,30,24,347,537,2002,2000,2001,2002,142,997,655,718,17,93,91,53,28,311,349,345,77.3,5883,5996,224862,554966,645095,7495,27393,33253
Santa Rosalia,28,27,1495,2497,2011,2011,2011,2011,3190,3340,2886,2867,290,286,293,290,68,87,101,102,254.9,19659,20036,1466391,4554958,5495241,52371,200003,239374
Playa Del Carmen,19,10,410,667,1990,1995,1987,1987,716,968,776,778,73,131,84,82,20,287,35,26,46.6,3552,3620,335169,728933,885140,17640,55714,66752
Pichilingue,17,16,891,1142,2005,2005,2008,2009,1808,1874,1656,2124,183,190,195,235,37,53,52,64,152.5,11736,11962,376648,2158615,2442299,22156,140848,166098
Boca Del Rio,17,17,840,629,2006,2006,2009,2007,1085,1341,1472,1329,267,258,262,284,36,53,33,48,79.6,6091,6208,449901,1725664,2046160,26465,106902,124792
Huatulco (Santa Maria Huatulco),16,11,728,70,2000,1999,2002,2002,456,568,667,618,32,44,73,68,8,10,10,9,185.6,14368,14644,424783,1537134,1526250,26549,85229,78954
Cantarell,9,9,2562,4710,2005,2005,2007,2007,1324,2621,5264,5738,183,306,964,1009,52,65,191,203,171.7,13234,13488,1366772,2644808,2838562,151864,411623,509177
Ciudad Del Carmen,7,6,250,265,2000,1999,2015,2014,867,844,1204,1126,189,211,182,191,17,38,21,20,15.4,1184,1206,280050,646182,859467,40007,118800,154327
Isla Mujeres,6,6,162,216,1992,1992,2007,2006,781,809,931,971,66,79,77,83,24,44,48,58,19.7,1510,1539,118394,315340,376362,19732,67184,81755
Ixtapa,4,4,362,424,1999,1999,2008,2007,1574,1436,2070,2004,128,120,192,188,29,25,29,27,28.8,2227,2270,246846,629580,750471,61711,196154,234991
Chiltepec,4,1,0,0,2010,2010,2010,2010,99,99,89,89,12,12,18,18,16,16,36,36,1.8,138,141,1684,12984,6127,421,1028,1465
Alvarado,4,4,300,335,2011,2011,2012,2011,1490,2656,2337,2547,336,344,440,498,26,52,74,100,29.2,2253,2296,159120,503452,681028,39780,170212,209909
Calastun,4,3,20,27,2007,2008,2006,2006,1022,1120,1259,1276,214,225,298,304,66,153,407,427,9.9,747,761,120118,228414,287536,30029,86405,115893
Seybaplaya,3,3,1,1,2000,2000,1988,1992,217,705,443,344,31,46,71,65,5,201,425,361,3.5,264,269,15038,42443,48222,5013,12883,17473
Punta Baja,2,2,170,301,2006,2006,2003,2002,594,594,775,948,161,161,285,302,27,27,22,21,9.3,708,721,74295,135177,142613,37147,102788,127530
Minatitlan,2,2,401,761,2008,2008,2008,2008,1295,1295,2136,2170,318,318,626,627,94,94,167,167,42.4,3263,3326,180754,307978,321105,90377,246987,309324
Tomatlan,2,2,31,47,2010,2010,2010,2010,1050,1050,1039,1036,100,100,101,101,52,52,40,36,5.4,414,422,18708,56433,86250,9354,47337,62421
Nautla,2,2,19,27,2006,2006,2007,2007,645,645,662,665,102,102,129,132,26,26,32,32,3.0,233,237,23328,61206,79148,11664,39139,47482
Dolores Hidalgo,1,1,27,47,2006,2006,2006,2006,646,646,646,646,310,310,310,310,5,5,5,5,2.8,218,222,37075,58142,78783,37075,85484,107597
Cancun,1,1,173,317,2009,2009,2009,2009,2980,2980,2980,2980,254,254,254,254,0,0,0,0,11.9,924,942,71402,141632,163094,71402,202313,233642
Barra De Navidad,1,1,34,55,2014,2014,2014,2014,1733,1733,1733,1733,314,314,314,314,33,33,33,33,3.6,280,286,22602,62745,97518,22602,106483,138009
Los Cabos,1,1,55,94,2006,2006,2006,2006,1843,1843,1843,1843,335,335,335,335,60,60,60,60,7.7,590,602,18210,133355,153755,18210,157249,193306
Yavaros,1,1,77,130,2014,2014,2014,2014,2598,2598,2598,2598,251,251,251,251,42,42,42,42,7.0,535,545,25048,183431,211492,25048,216298,265894
Puerto Angel,1,1,1,0,1970,1970,1970,1970,1312,1312,1312,1312,458,458,458,458,132,132,132,132,0.8,57,58,5536,13092,17529,5536,14296,19301
Frontera,1,1,57,65,2015,2015,2015,2015,1218,1218,1218,1218,91,91,91,91,50,50,50,50,5.8,453,461,15249,113933,94607,15249,137923,214315
Ciudad Rio Bravo,1,1,0,0,2002,2002,2002,2002,147,147,147,147,20,20,20,20,64,64,64,64,0.1,4,4,1235,2920,3909,1235,3188,4305
