Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,2787,83,661,603,2007,2002,2007,2007,122,528,206,201,26,432,444,447,14,97,140,126,830.4,62448,63647,15413729,36448829,48803012,5531,14281,19282
Chemical tanker,2096,331,24552,40578,2010,2010,2010,2010,341,385,430,430,32,46,90,90,48,65,79,79,6321.9,489178,498570,8956927,59591555,68850220,4273,33387,40942
Container,1571,297,34730,39078,2007,2007,2008,2008,246,377,381,380,21,31,54,55,20,21,27,27,4331.1,335116,341550,25728109,71344900,80723151,16377,52001,60416
Ro-Ro,1326,9,2517,1441,1988,1991,1991,1990,225,656,212,225,16,39,28,33,7,99,91,136,867.8,66527,67805,3587053,23610604,12023203,2705,6555,8900
Service - other,1239,33,526,539,1990,1993,1999,2002,107,1093,661,891,13,355,943,953,8,102,344,318,332.0,25018,25499,3762447,7719715,8318460,3037,6757,7630
Bulk carrier,741,289,10399,17830,2001,2011,2005,2005,340,598,599,599,44,70,136,137,75,111,114,111,1216.4,93965,95769,5989489,14279592,18125582,8083,30881,37434
Cruise,576,50,19649,2007,1999,2001,2000,2000,262,494,452,459,17,32,122,122,8,12,25,26,4898.2,377651,384902,5862109,33336324,38160590,10177,51363,56013
Oil tanker,503,119,4810,8325,1999,2006,2006,2006,262,385,354,354,32,81,155,154,33,60,113,103,2610.1,201347,205212,6108299,11620291,13611664,12144,33694,41181
Vehicle,283,113,4059,1231,2008,2007,2008,2008,247,261,269,270,18,27,36,36,23,32,33,33,315.4,24435,24904,1246533,5495874,6364783,4405,16742,18018
General cargo,282,146,1676,2407,2007,2008,2009,2009,321,423,461,458,39,55,117,120,45,85,79,80,402.7,30685,31274,1403917,4678607,6786169,4978,24844,33699
Miscellaneous - fishing,148,28,958,1156,1991,1989,1995,2000,925,5878,4942,6109,148,843,1796,1890,22,214,519,410,652.9,49020,49961,8129659,18033151,20501867,54930,129276,153248
Ferry-RoPax,123,5,755,164,1994,2008,1993,1993,255,959,273,275,14,173,163,189,10,385,30,38,353.2,26922,27439,1245917,2994608,3736374,10129,21845,22503
Liquefied gas tanker,114,13,768,915,1989,2009,2012,2012,124,761,665,650,14,69,96,94,58,58,51,51,254.4,19332,19703,310700,1675738,1503514,2725,20231,29817
Refrigerated bulk,76,4,7,8,1978,1987,1985,1986,54,265,127,150,10,25,23,25,30,40,77,71,78.1,5865,5978,23685,51752,58294,312,664,717
Ferry-pax only,42,8,50,10,1991,1993,1992,1987,634,1806,1023,717,130,331,1706,1340,34,74,167,202,71.9,5404,5508,623527,1359820,1724529,14846,35798,47231
