int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
"Gigaquit, Mindanao",16,16,2010,2010,2010,2010,893887705,1532459463,1629,1719,1817,1809,80,6204
Talibon,4,4,2003,2003,2009,2009,855448908,724402655,1546,2947,8281,8005,95,5888
Kalamansig,1,1,2011,2011,2011,2011,7447990,10933213,838,838,838,838,1,43
Tabaco,14,14,2001,2001,2001,2003,169381838,231770669,1795,5278,2260,2035,58,4380
Makati City,2,2,2010,2010,2011,2011,131037731,211895651,2323,2323,2556,2671,10,776
Jose Panganiban,4,3,2005,2003,2012,2012,425272953,779463321,1942,2167,3214,3204,24,1889
Lunao,21,7,2013,2009,2013,2013,173090963,288549510,507,993,797,794,43,3293
Tanauan,34,17,2009,2009,2009,2009,147569199,247655359,1536,1539,1236,1244,35,2618
Hinatuan,7,4,1998,1997,1998,1998,91295788,93251890,1649,1822,1734,1700,27,2072
Sorsogon,17,12,2004,2006,2010,2011,231765233,345405336,674,1417,991,1041,34,2638
Capoocan,1,1,2018,2018,2018,2018,58747043,99409173,1995,1995,1995,1995,8,586
Basco,6,6,2008,2008,2011,2011,555545915,889008754,1370,2130,2671,2929,44,3371
"Polillo, Polillo Isl",4,4,2005,2005,2010,2011,175956350,297179768,2149,1901,2310,2395,16,1202
Boston/Davao,14,8,1998,1998,1999,2000,230200924,313274468,1689,1769,1770,1791,66,5073
Abulug,5,5,1998,1998,1999,1999,357373869,628542119,2090,2711,4201,4287,34,2636
"Mabini, Mindanao",3,3,2010,2010,2010,2010,84382450,134036000,2010,2221,2752,2806,10,797
Masbate,5,5,1997,1997,2005,2008,10896522,17128886,1206,1339,1286,1216,5,415
Santa Cruz (Marinduque Isl),1,1,2010,2010,2010,2010,6094891,10416648,2057,2057,2057,2057,2,122
Bais,4,4,2001,2001,1993,1994,166098349,236471158,2522,6097,4470,4156,18,1355
Medina,2,2,2010,2010,2010,2010,9017043,14471764,1059,1059,842,851,3,196
Mati,6,6,2004,2004,2002,2001,170216615,180288067,1626,1392,1763,1982,29,2247
Aparri,6,6,2003,2003,2002,2003,294096373,328544598,1814,2423,2072,2230,37,2624
Culasi,5,4,2007,2006,2010,2011,14886952,22890268,890,1040,1185,1184,5,400
"Himamaylan, Negros",4,4,2002,2002,1999,1998,256672327,423901474,1534,1729,1581,2061,68,5200
Polloc (Cotabato),8,7,2003,2002,2005,2005,91497250,147738610,1067,1015,1096,1118,15,1150
San Carlos,3,3,1991,1991,1995,1990,4098892,3346948,514,731,1000,930,2,127
Jolo,4,4,2005,2005,2005,2005,13890510,16052893,320,843,2000,2034,5,355
Aras Asan/Bislig,5,3,1993,1993,1994,1994,72983164,101359914,1525,1475,1474,1437,19,1465
Kabasalan/Zamboanga,2,2,2010,2010,2011,2011,126119080,217396583,2008,2008,2072,2089,10,747
Makati,2,2,2011,2011,2009,2009,421351576,795941683,2432,2432,3371,3475,26,2023
Santa Clara,2,2,1983,1983,1986,1987,737894,1138862,614,614,619,705,1,56
"Cajidiocan, Visayan Isl",3,2,2013,2013,2013,2013,38729159,52454357,745,2151,1465,1507,11,886
Ozamiz,1,1,2010,2010,2010,2010,39583,50590,39,39,39,39,0,20
Muntinlupa City,2,2,2004,2004,2004,2004,95820627,153766577,1857,1857,2061,2051,11,815
"Burdeos, Polillo Isl",1,1,2011,2011,2011,2011,77074114,136470508,2322,2322,2322,2322,6,495
"Calbayog, Samar",2,2,2002,2002,1998,1997,3106995,4813409,960,960,617,579,4,320
Philippines,2,2,2004,2004,2007,2001,28203677,15966143,999,999,807,1053,6,436
Basilian City (Isabela),1,1,2004,2004,2004,2004,3853859,3433470,1759,1759,1759,1759,2,151
Port Borongan,2,2,2005,2005,2007,2008,109651948,166562393,3891,3891,3066,2919,15,1146
"Marihatag, Mindanao",1,1,2012,2012,2012,2012,17350913,20674469,2444,2444,2444,2444,3,235
