port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cebu - Tandayag,6,4,2007,2005,2009,2009,1112533,1423348,83,120,87,86,2,176
Tandayag - Davao,9,5,1999,1997,1995,1994,12364202,17654086,470,498,525,521,15,1110
Subic Bay - Surigao City,2,2,2012,2012,2012,2012,39864021,69543677,603,603,603,603,4,346
Baybay - Laguna,339,8,1986,1994,1988,1990,27199673,19767376,55,165,82,98,28,2098
"Lucanin - Lapu-Lapu, Cebu",28,11,2004,2006,2004,2003,38460381,62609425,407,498,464,465,30,2262
"Lapu-Lapu, Cebu - Limay",40,11,2002,2007,2005,2004,43068733,68516923,414,520,504,502,57,4301
Cebu - Limay,15,10,2004,2003,2003,2003,31436417,46550390,461,603,643,665,19,1445
Bogo - Limay,3,3,2002,2002,2003,2003,3073228,5086675,286,319,352,354,3,247
"Lapu-Lapu, Cebu - Pagudpud, Luzon",1,1,2001,2001,2001,2001,3138110,5239758,598,598,598,598,2,137
"Pagudpud, Luzon - Lucanin",8,6,2006,2006,2006,2006,24982355,36431690,652,943,677,653,10,766
Bugo - Lucanin,21,12,2003,2002,2004,2004,21083326,35123813,525,574,586,579,31,2367
"Pagudpud, Luzon - Masinloc",7,6,2005,2004,2009,2009,24827622,38402071,359,381,372,368,5,363
Masinloc - Limay,12,7,2006,2007,2004,2004,26156290,31143425,417,556,545,525,13,997
Mactan Island Apt - Limay,5,4,2003,2002,2005,2004,10300308,15710034,555,631,701,698,9,654
"Limay - Pagudpud, Luzon",11,4,2004,2004,2005,2004,19789093,29520264,285,456,383,376,11,866
Limay - Bugo,26,11,2008,2008,2007,2006,35267584,54729190,496,484,563,565,55,4122
Mariveles - Lucanin,5,5,1999,1999,2003,2003,9905852,16225720,195,370,492,480,4,339
Limay - Tagoloan,8,7,2006,2007,2009,2009,66359377,111049489,552,629,620,626,16,1209
Tagoloan - Mariveles,3,3,2004,2004,2004,2004,36913466,62025387,526,696,891,901,6,455
Mariveles - Bauang,5,5,2008,2008,2007,2006,9621731,14191451,311,397,385,390,2,151
Bauang - Limay,3,3,2004,2004,1997,1997,58960511,112289354,406,693,1265,1310,7,502
Lucanin - Masinloc,3,3,2006,2006,2007,2007,20307822,33774938,509,661,557,550,4,272
Nasugbu - Tagoloan,3,3,2005,2005,2007,2007,29986574,49723021,741,694,763,764,5,365
Baybay - Cebu,183,8,1983,1987,1986,1990,45637752,29445186,148,294,346,252,27,2008
"El Nido/Puerto Princesa - Legaspi Apt, Luzon",2,2,2003,2003,2003,2004,213452,258617,398,398,397,402,1,38
"Baybay - Lapu-Lapu, Cebu",59,6,1981,1990,1984,1990,4811171,3874044,140,139,144,129,6,454
Manila - Hondagua,4,4,2012,2012,2011,2011,78368508,135097263,600,598,598,598,8,632
Port San Vicente - Manila,1,1,2018,2018,2018,2018,29104640,41352687,6211,6211,6211,6211,5,390
Manila - Talibon,5,3,2010,2013,2008,2009,9047292,11805132,472,474,430,435,3,193
Talibon - Davao,3,3,2006,2006,2004,2003,8754716,13061182,467,540,550,566,2,181
"Batangas City - Pagudpud, Luzon",9,4,2004,2006,2005,2005,18950481,27129461,267,553,571,551,10,767
Bauan/Batangas - Tandayag,1,1,1996,1996,1996,1996,1016536,1601403,367,367,367,367,1,44
Tandayag - Masbate,3,3,2001,2001,1999,1998,1021421,1821299,233,300,240,255,4,284
"San Jose Apt, Mindoro - Batangas City",9,8,2005,2005,2003,2005,201039172,131703324,782,1972,2664,1469,31,2384
"Pagudpud, Luzon - Bauan/Batangas",7,3,2001,2007,2006,2006,9874436,14321519,347,423,383,370,8,617
