int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,70,13,2007,2007,2007,2006,136822388,171900683,193,149,189,189,40,3076
Ro-Ro,31,5,1990,1984,1991,1991,29543789,33709102,154,202,163,163,21,1630
Cruise,90,35,1994,1995,2006,2002,1271556851,129136072,181,302,244,252,285,22030
Refrigerated bulk,29,13,2000,1998,2000,2000,41386162,45407241,88,114,108,108,20,1501
General cargo,99,20,2002,2001,2008,2008,103746895,150326573,99,255,290,304,24,1868
Offshore,8,5,2001,1990,1977,1975,2222118,3293699,134,571,427,530,5,405
Service - other,1,1,1980,1980,1980,1980,795926,413331,2812,2812,2812,2812,2,172
Service - tug,28,6,1976,1981,1983,1983,2080921,1668686,87,251,259,295,9,696
Oil tanker,18,5,1999,2003,2015,2015,119777693,214676930,193,487,919,947,16,1187
Vehicle,26,15,2006,2004,2006,2005,102060096,31524172,91,99,104,104,8,649
Bulk carrier,22,4,2013,2003,2012,2012,41924460,63576509,208,390,323,323,8,646
Ferry-pax only,21,3,1998,1999,2000,1998,22098840,3413995,245,9891,2121,5578,17,1314
Chemical tanker,41,7,2009,2008,2008,2008,53058986,82453315,211,324,224,223,45,3385
Ferry-RoPax,37,5,1978,1984,1995,1987,9810613,1415074,153,334,424,309,15,1163
Liquefied gas tanker,26,2,2008,2008,2008,2008,21124304,21822301,153,151,179,179,12,908
