int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Roseau,402,111,2002,2000,2007,2008,1854618748,871620998,159,244,234,263,447,34426
Portsmouth,49,20,1983,1992,2001,2000,29439456,23362859,139,249,122,133,13,984
Dominica,43,19,1981,1979,1987,1983,19668901,5359467,146,1064,260,272,15,1161
Mahaut,49,19,2004,2003,2007,2007,41401975,52983294,129,226,173,200,37,2800
Anse Du Mai,4,3,2007,2005,2005,2005,12880962,1411065,701,5907,4150,4396,17,1259
