Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Turkmenistan,1115,132,2641,2833,1999,2001,1999,2003,209,383,324,360,40,154,300,427,35,121,69,72,1490.1,112222,114377,6701033,14818380,16489658,6010,15717,18358
Kazakhstan,535,103,1344,873,1999,1996,1998,2001,259,428,335,331,29,116,69,95,26,93,57,61,435.6,33286,33925,2257302,5530060,6709347,4219,10647,11842
Russian Federation,429,173,713,870,1990,1993,1991,1991,465,553,580,581,81,133,213,208,51,72,93,92,231.9,17470,17805,2416473,6794131,9406959,5633,18668,25996
Iran (Islamic Republic of),250,86,264,312,1990,1988,1994,1993,271,450,393,383,38,141,157,125,66,71,76,77,85.6,6470,6594,811033,2319697,3254491,3244,11130,15278
Turkey,3,3,1,1,1985,1985,1987,1987,332,322,235,223,257,511,837,1046,207,365,273,314,6.2,464,473,7689,6805,9178,2563,6637,8643
China,2,2,9,17,2004,2004,2017,2017,285,285,200,198,36,36,13,12,105,105,67,66,1.1,81,83,6456,18733,24156,3228,12615,16565
Greece,2,2,0,0,1986,1986,1986,1985,77,77,77,77,132,132,114,81,37,37,34,29,0.6,47,48,921,1889,2036,460,1024,1157
"Bonaire, Sint Eustatius and Saba",2,1,0,0,2008,2008,2008,2008,180,180,180,180,84,84,89,89,20,20,23,23,0.3,21,22,1673,3955,5296,836,2159,2916
Japan,1,1,0,1,2011,2011,2011,2011,83,83,83,83,6,6,6,6,121,121,121,121,0.8,59,61,997,3088,3938,997,3429,4425
Netherlands,1,1,0,0,2006,2006,2006,2006,521,521,521,521,1687,1687,1687,1687,1317,1317,1317,1317,2.4,183,187,1641,3879,5194,1641,4236,5719
Dominican Republic,1,1,0,0,2008,2008,2008,2008,432,432,432,432,89,89,89,89,16,16,16,16,0.3,22,23,2010,4752,6363,2010,5189,7006
Saint Kitts and Nevis,1,1,0,0,2008,2008,2008,2008,747,747,747,747,353,353,353,353,31,31,31,31,0.8,62,63,3480,8228,11017,3480,8985,12131
Martinique,1,1,0,0,2008,2008,2008,2008,399,399,399,399,127,127,127,127,35,35,35,35,0.6,42,43,1859,4397,5887,1859,4801,6482
Sint Maarten (Dutch part),1,1,0,0,2008,2008,2008,2008,71,71,71,71,14,14,14,14,8,8,8,8,0.1,6,6,331,782,1047,331,854,1153
Saudi Arabia,1,1,0,0,1972,1972,1972,1972,383,383,383,383,400,400,400,400,157,157,157,157,1.1,83,84,931,1909,2057,931,2071,2338
