int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,18,8,1982,1982,1988,1986,12116890,1322957,86,89,91,87,12,883
Liquefied gas tanker,7,1,2007,2007,2007,2007,5983376,6202478,178,178,179,179,4,289
General cargo,36,6,1978,1977,1978,1978,10964132,15443733,162,297,170,161,8,577
Container,1,1,2007,2007,2007,2007,1660540,2294770,167,167,167,167,0,29
Oil tanker,12,2,2004,2006,2010,2010,362594574,685223916,129,1190,1679,1775,26,2003
Offshore,72,7,1982,1982,1981,1981,7992043,11750023,131,151,144,146,17,1285
Ferry-pax only,6,3,1991,1993,1992,1992,73343542,18618513,9747,41357,43347,39197,25,1902
Service - tug,26,4,1975,1972,1975,1975,947257,658113,109,132,138,138,3,202
Bulk carrier,3,2,2008,2009,2010,2010,3204388,4890133,76,287,239,248,1,71
Ro-Ro,10,3,1980,1981,1978,1978,1589957,2330134,137,197,184,184,9,659
Vehicle,1,1,1997,1997,1997,1997,11047292,3120394,250,250,250,250,1,95
Ferry-RoPax,32,2,1970,1972,1970,1970,2021270,534491,86,87,82,82,5,396
Chemical tanker,4,1,2010,2010,2010,2010,3928174,5451800,306,306,310,310,4,270
