int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Liquefied gas tanker,7,1,2007,2007,2007,2007,6886412,7138582,181,181,206,206,6,463
Cruise,18,8,1982,1982,1989,1987,21216264,2405854,97,126,159,159,11,833
Oil tanker,12,2,2004,2006,2010,2010,254568227,480308184,113,843,1179,1244,14,1095
General cargo,36,6,1978,1977,1978,1978,8781658,12806790,113,152,136,134,6,457
Container,1,1,2007,2007,2007,2007,899086,1242485,90,90,90,90,0,16
Offshore,72,7,1982,1982,1981,1981,7775724,11339425,118,145,140,140,14,1015
Service - tug,26,4,1975,1972,1974,1974,880721,612259,109,151,128,128,3,211
Ferry-pax only,6,3,1991,1993,1996,1998,18951912,6959890,10440,14308,11201,14652,17,1281
Vehicle,1,1,1997,1997,1997,1997,40623556,11474439,919,919,919,919,2,124
Bulk carrier,3,2,2008,2009,2008,2008,8112937,11863956,482,584,606,602,2,133
Ro-Ro,10,3,1980,1981,1977,1977,1426400,2074783,122,112,165,164,5,383
Ferry-RoPax,32,2,1970,1972,1970,1970,2090109,552531,86,92,85,85,3,196
Chemical tanker,4,1,2010,2010,2010,2010,1731698,2403374,145,145,137,137,1,105
