int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,865,681,2009,2010,2010,2010,44307879227,75726636914,1247,1821,1837,1845,4099,313589
Chemical tanker,4496,1143,2006,2008,2009,2009,50111779211,80289702904,338,1009,1037,1063,12258,932258
General cargo,4162,1511,2003,2004,2005,2005,24234543633,33550311037,469,895,1112,1105,5236,397894
Container,4904,751,2006,2008,2010,2009,220234059488,242382619255,301,768,839,832,27404,2096255
Vehicle,2462,470,2004,2007,2007,2006,84751055685,28157395903,318,816,827,806,6428,489923
Liquefied gas tanker,1264,245,2008,2009,2012,2011,32629827563,29585287870,466,1564,1996,1835,5157,358371
Service - tug,686,111,2000,2003,2002,2001,61335090,38990354,87,318,245,233,185,13883
Service - other,559,110,1998,2002,2001,2001,1118684992,1627820430,190,830,500,486,533,39885
Miscellaneous - fishing,256,60,1994,1992,1991,1991,71189405,44934061,363,1072,527,628,136,10232
Oil tanker,629,305,2008,2009,2009,2009,40986760891,72333013928,527,2222,2110,2122,5380,411767
Ro-Ro,3558,93,2004,2006,2008,2008,46150128526,22639596121,204,605,425,450,7861,592705
Ferry-pax only,7,5,1954,1958,1973,1942,364686,172928,169,214,238,232,2,155
Cruise,195,67,2003,2001,2007,2005,3550070724,341072881,176,233,237,247,890,67219
Offshore,146,74,2001,2002,2007,2006,276095892,210056495,294,1265,333,390,302,22694
Refrigerated bulk,75,26,1995,1996,1995,1995,3137212955,3114593041,3896,3870,3840,3809,1466,111639
Ferry-RoPax,176,4,1987,1998,1987,1987,1160218468,230726829,206,567,209,207,265,19930
Other liquids tankers,32,5,1995,1996,2000,2000,2734254239,3553065364,5294,4067,4977,4926,717,55332
