int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,606,462,2009,2009,2010,2009,230970914130,444712120826,3386,4484,7024,7181,12481,966393
Chemical tanker,95,57,2009,2009,2009,2009,2517679971,4050971613,1281,1572,1463,1465,460,35393
General cargo,116,82,2005,2005,2009,2009,1769560351,2552847165,1279,1645,1964,2011,327,25000
Container,240,69,2003,2002,2003,2003,6963319904,8319569960,385,1012,1000,993,1071,82744
Service - tug,49,18,2013,2004,2011,2012,42218503,32896178,177,3605,1845,2063,68,5074
Ro-Ro,53,23,2005,2006,2005,2005,3561654624,1855503953,1142,1327,1325,1321,415,32098
Miscellaneous - fishing,32,18,1994,1997,1987,1987,104459438,41040398,2276,2417,3231,3135,65,4915
Vehicle,41,13,2006,2005,2004,2005,2909465588,919601952,878,1333,1346,1302,189,14612
Oil tanker,22,7,2001,2008,2008,2008,611488819,1029899237,130,1819,810,827,99,7601
Refrigerated bulk,9,4,1983,1988,1988,1988,15185635,17757761,375,677,733,720,30,2248
Service - other,2,2,2000,2000,1988,1988,4677181,5569712,917,917,1121,1105,5,374
