Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,239,59,3322,4096,2005,2006,2004,2004,683,808,767,769,55,69,89,89,58,89,77,77,778.2,59713,60859,4136373,14181278,16015835,17307,62924,75094
Bulk carrier,158,150,22558,42738,2009,2009,2009,2009,1719,2432,2787,2821,157,209,437,442,225,287,367,370,1531.9,118524,120800,10616292,22370470,27078991,67192,211073,249246
General cargo,120,85,2244,2970,2001,2003,2004,2006,1325,1807,2702,2670,146,178,593,555,68,101,153,155,423.0,32479,33102,2234088,7146552,10244724,18617,85922,115188
Refrigerated bulk,116,58,854,960,1990,1991,1991,1991,560,1112,1187,1171,46,108,168,169,102,119,120,120,581.5,44029,44874,2847095,6221042,7007419,24544,52303,56471
Miscellaneous - fishing,115,48,1066,634,1988,1992,1990,1990,710,4856,3691,3094,68,280,272,263,49,473,998,861,341.5,25826,26322,4455280,9882671,11235596,38742,91177,108084
Oil tanker,69,18,489,747,2008,2008,2005,2005,505,1150,770,766,50,117,177,176,33,72,138,145,156.7,11961,12191,965565,1540525,1693695,13994,42423,52917
Chemical tanker,57,42,1618,2625,2008,2009,2010,2010,966,1491,1554,1562,96,127,181,181,72,88,92,92,304.5,23437,23887,857458,4470650,5223923,15043,91590,112223
Ro-Ro,24,17,336,173,2001,2002,2003,2003,270,523,342,350,20,55,44,47,53,79,63,64,61.2,4718,4809,203649,525606,475704,8485,20040,22221
Liquefied gas tanker,19,5,91,109,2011,2011,2012,2012,488,847,727,718,70,1128,596,554,48,38,45,46,64.9,4916,5011,82569,239216,264171,4346,23793,31288
Service - tug,12,7,9,7,2008,2008,2008,2008,367,512,474,416,48,127,179,111,12,30,21,21,8.9,669,682,182556,431689,578009,15213,39283,53038
Service - other,10,6,32,24,2010,2011,2012,2010,1145,2193,1242,1007,126,389,221,192,54,48,36,56,19.2,1439,1467,170085,348976,376043,17008,37847,42734
Vehicle,5,3,678,245,2011,2010,2011,2011,2414,2306,2253,2259,165,180,171,170,25,25,30,30,36.1,2787,2840,248224,1094404,1267431,49645,188700,203083
