int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pulau Sebarok,3655,2126,2007,2007,2008,2008,255082556730,369301551483,1129,2134,2825,2807,31743,2372266
Pulau Ayer Chawan,7273,2639,2009,2008,2009,2009,525441288752,741842966364,752,2403,2918,2849,61771,4584819
Bukit Merah Estate,9166,3547,2007,2008,2009,2009,534635197240,752981316494,1296,2413,1999,2219,57471,4441954
Changi,10294,5776,2010,2010,2010,2011,1754401253883,3119783582150,2553,3667,4232,4312,123749,9570242
Pasir Panjang Terminal,7019,1892,2006,2007,2010,2010,761708469762,723870560730,867,1856,2312,2215,69963,5413047
Pulau Bukom,2955,1592,2008,2008,2009,2009,184741890523,228417977261,1174,1998,2688,2583,24365,1818578
Tuas,2206,1011,2006,2007,2008,2008,70510275123,119514216966,199,1478,2102,2184,10221,778994
Singapore,1643,1073,2008,2008,2010,2010,142475296017,205434105180,784,1972,3113,3153,15843,1224103
Pasir Panjang Wharves,6997,1748,2008,2008,2012,2012,915914331629,976799571469,925,1651,2184,2132,84350,6527142
Jurong/Singapore,1069,524,2007,2007,2009,2009,24968573984,30475495183,650,1722,2023,1971,2847,219377
Sembawang,359,209,2005,2007,2007,2008,21607870546,24835490687,715,2246,3051,3213,4197,303123
