int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,319,207,2010,2011,2010,2008,12592965777,11385158858,1364,2607,2971,2466,2365,169993
Oil tanker,7083,1838,2007,2008,2009,2009,796623263600,1475849806844,934,2983,3301,3390,64255,4968500
Container,15485,1909,2007,2008,2011,2011,1987413183832,2162343344863,1292,2163,2405,2336,198576,15368044
Bulk carrier,10431,5074,2010,2010,2010,2010,1314482242403,2402401258024,2280,2967,3211,3243,97330,7536779
Chemical tanker,6245,1449,2008,2009,2009,2009,176421792856,285636923798,1285,1924,1940,1956,33333,2569320
Service - other,1702,157,2013,2007,2010,2010,6525327329,9119375926,83,1494,426,407,1372,104275
General cargo,3240,1153,2006,2007,2007,2008,101935578557,141446362002,1409,2191,2574,2590,14858,1142991
Service - tug,2051,534,2008,2009,2010,2010,1778191045,1452595387,188,1124,1263,1304,1700,128222
Vehicle,1750,488,2006,2007,2007,2007,249889477866,84272917654,1943,2928,2636,2657,15492,1199994
Other liquids tankers,22,10,2010,2007,1999,1999,256899140,314255833,80,996,2747,2666,67,5168
Miscellaneous - fishing,40,20,2009,2002,2004,2003,233117105,187904717,562,5381,2446,3401,95,7124
Liquefied gas tanker,2312,753,2008,2008,2009,2009,503528048661,444583194068,2874,3783,4323,4244,57310,3992970
Refrigerated bulk,139,70,1998,1995,2000,1999,4407483979,4532469562,3542,4768,4050,4041,2180,165773
Cruise,272,61,2004,2001,2007,2006,17014796735,1717114953,497,830,630,655,3361,260269
Ro-Ro,387,40,2011,2008,2012,2010,1504697487,879741127,49,1777,1816,1066,539,40937
Ferry-pax only,1183,84,2003,2003,2000,2001,396998955,122814432,593,1319,977,1287,606,45525
Ferry-RoPax,23,10,1995,1998,2001,2000,322200462,63627756,450,1724,3956,3869,118,8617
