Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,2874,547,231419,253848,2006,2007,2011,2011,764,1524,1802,1735,72,110,199,194,18,29,26,26,24650.1,1903844,1940398,127796358,412926659,446712384,44466,156060,184754
General cargo,1260,636,6681,9712,2002,2004,2006,2006,557,991,1008,1022,73,138,224,230,37,58,77,77,1627.3,124203,126588,12526230,37688657,53221284,9941,40121,53217
Bulk carrier,997,806,55609,95357,2009,2010,2011,2011,1283,2031,2110,2128,190,272,485,488,28,80,122,121,5414.2,417824,425847,32724098,77544000,99655328,32823,125446,152211
Chemical tanker,892,404,13028,21174,2007,2008,2010,2010,716,1367,1395,1425,84,156,319,324,23,37,49,49,3090.2,237331,241887,13600953,51305277,61654100,15248,65356,80439
Vehicle,505,132,35195,11642,2004,2007,2007,2007,1056,2031,1637,1639,77,138,211,207,12,23,29,30,2293.1,177300,180704,11788646,51975288,60192681,23344,88730,95493
Ro-Ro,484,36,13355,6397,2001,2004,2011,2010,142,1419,1275,1116,10,100,144,144,4,32,31,32,1368.3,105875,107908,7024692,14252303,15424335,14514,34154,36665
Ferry-RoPax,325,21,4895,887,1996,1993,1996,1996,539,583,529,511,29,46,34,33,4,20,16,15,1037.6,79905,81440,5509943,13625654,16718765,16954,36189,32961
Liquefied gas tanker,295,101,7014,7972,2009,2010,2012,2011,783,1339,1419,1415,89,142,254,256,28,46,52,53,1201.5,92079,93847,3782385,15524458,15089697,12822,81909,114888
Oil tanker,225,101,6839,12311,2007,2008,2010,2011,386,1241,1496,1563,55,166,458,471,36,50,43,40,938.8,72110,73495,7100760,12460131,14367816,31559,83250,103156
Cruise,154,55,3037,324,1996,1996,2002,2001,249,327,359,364,23,27,31,32,9,13,11,10,663.0,51320,52306,1287550,6385722,7411960,8361,36411,39171
Refrigerated bulk,91,43,1443,1585,2001,1995,2000,2000,1418,1832,1847,1832,123,185,184,184,19,96,65,65,737.0,56143,57221,4700723,10271308,11569663,51656,110079,118852
Miscellaneous - fishing,47,32,522,402,1985,1986,1986,1986,633,7126,4174,4966,81,1480,2209,2463,113,464,720,765,257.9,19469,19843,2830062,6277624,7137023,60214,141711,167990
Service - other,40,25,110,95,2000,2000,2003,2003,572,2176,1030,921,86,493,567,561,30,340,463,229,76.2,5725,5835,660452,1355102,1460205,16511,36740,41485
Service - tug,33,23,19,14,1995,1994,2004,2004,757,948,1182,1159,101,417,497,583,52,104,110,112,32.6,2446,2493,358520,847791,1135146,10864,28053,37877
