Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Tanger Med,489,139,2653,2906,2005,2005,2005,2005,255,325,294,309,23,45,69,77,14,19,22,24,538.1,41295,42088,2985474,9555156,10896121,6105,20907,24969
Casablanca,345,171,1376,1784,2003,2006,2005,2006,229,292,254,252,25,122,93,104,27,77,82,95,360.4,27651,28182,1659420,4984233,5903434,4810,16434,19653
Agadir,267,117,1090,1132,2001,2000,1999,2001,289,959,513,417,37,201,363,338,32,176,203,161,399.6,30267,30848,3149104,7790507,9107577,11794,31978,38449
Jorf Lasfar,191,138,824,1291,2006,2007,2011,2011,199,265,316,319,21,80,164,170,46,84,88,91,256.3,19662,20040,756473,2180545,2624460,3961,15707,20057
Safi,157,125,422,666,2004,2004,2007,2008,219,312,339,345,24,106,113,119,45,76,112,116,167.9,12783,13029,697861,2060479,2634212,4445,15942,19881
Mohammedia,144,36,244,342,2005,2004,2008,2007,193,366,256,254,20,144,67,66,55,71,101,107,194.1,14738,15021,410969,1151288,1374740,2854,10240,13449
Laayoune,129,45,219,291,1995,1998,1999,2000,327,635,400,390,35,109,84,75,54,62,65,68,103.8,7847,7997,625665,1685129,2211208,4850,15762,20785
Tangier,90,29,226,282,1996,1999,2005,2007,422,1049,418,568,82,362,317,312,21,101,110,73,105.4,7996,8149,366641,1147475,1375968,4074,13643,16955
Larache,52,27,68,90,1998,2000,2003,2004,265,380,203,198,64,108,125,115,20,51,60,48,34.6,2624,2674,146129,391983,440633,2810,8052,9461
Asilah,45,31,216,265,2003,2004,2005,2005,169,274,238,248,18,32,45,51,7,9,11,12,35.5,2733,2785,236806,782794,891084,5262,18592,22241
Kenitra,37,18,18,23,1993,1996,2004,2005,462,575,274,224,99,315,385,359,28,56,71,54,29.9,2248,2291,101904,240488,299873,2754,7325,9208
Rabat,28,12,16,17,1994,1998,2011,2012,356,844,293,262,112,260,303,196,4,19,10,8,13.8,1035,1055,37502,101876,116583,1339,4026,5377
Dakhla,26,22,66,46,1990,1991,1990,1992,633,754,773,675,61,149,101,91,62,88,60,75,22.2,1672,1705,269502,616099,720446,10365,25398,30710
Tan Tan,16,13,12,16,1995,1995,1996,1997,351,375,338,311,40,56,53,42,26,57,66,75,7.0,531,541,46426,101565,127685,2902,8574,11227
El Jadida,15,15,105,171,2009,2009,2011,2011,353,496,386,387,61,164,251,261,14,25,31,32,13.4,1029,1049,95858,224041,275823,6391,21281,25317
Al Hoceima,14,13,226,267,2003,2004,2007,2007,403,974,862,768,68,185,284,246,45,151,122,132,45.5,3488,3555,222460,606196,664955,15890,57133,71235
Essaouira,13,9,22,25,1997,1999,2006,2008,286,1191,617,565,77,332,353,313,8,18,11,10,12.0,909,926,37522,94212,106203,2886,10851,13695
Anza,11,9,34,31,2000,1998,1996,2000,328,510,565,420,26,86,242,160,16,22,36,30,9.3,704,717,95549,230790,274157,8686,24917,30646
Skhirat,11,11,33,53,2000,2000,2010,2010,201,283,284,358,37,107,347,377,9,10,4,3,5.5,424,432,34096,82464,103089,3100,10142,12242
Sidi Ifni,9,7,10,11,1999,1997,2005,2004,893,1109,1156,1125,590,749,1196,1306,30,92,79,88,16.4,1233,1257,78864,162402,175861,8763,19563,22179
Tarfaya,7,7,59,46,1995,1995,1994,2000,882,2271,2856,2440,102,299,593,517,24,245,90,72,12.5,937,955,220269,529325,637178,31467,81503,100999
Roches Noires,4,4,5,7,1998,1998,2007,2007,266,265,269,272,55,51,37,38,23,23,4,4,1.8,137,139,10354,31185,35395,2589,8166,9586
Sale,4,4,5,3,1992,1992,2009,2008,107,871,1330,829,81,184,522,494,32,34,39,38,1.4,105,107,22491,46527,50856,5623,12622,14418
Bir-Jdid,3,3,10,16,2002,2002,2011,2012,321,255,246,254,40,118,219,224,16,37,14,12,1.9,146,149,9356,22527,28896,3119,10570,12889
Souq Larb'A Al Gharb,1,1,0,0,1986,1986,1986,1986,84,84,84,84,16,16,16,16,9,9,9,9,0.0,3,3,199,442,502,199,469,556
Nador,1,1,0,1,1986,1986,1986,1986,2249,2249,2249,2249,862,862,862,862,2327,2327,2327,2327,2.2,163,167,2054,5893,8469,2054,6696,9630
Ar Rommani,1,1,8,4,2010,2010,2010,2010,4611,4611,4611,4611,807,807,807,807,134,134,134,134,1.6,123,125,25837,53012,57124,25837,57492,64916
Tetouan,1,1,0,0,1975,1975,1975,1975,270,270,270,270,49,49,49,49,46,46,46,46,0.2,15,16,973,2301,3081,973,2513,3393
