Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Casablanca,643,258,2512,2816,2003,2004,2005,2005,265,259,284,290,25,61,57,64,19,53,35,39,591.0,45304,46174,3286989,10302777,12053799,5112,17187,20540
Tanger Med,292,95,1288,1646,2004,2006,2005,2005,206,480,312,312,21,109,101,91,34,87,67,69,414.3,31685,32294,1533626,4873611,5643265,5252,18979,23522
Agadir,272,138,885,1104,2000,2002,2003,2005,314,504,405,382,33,117,95,76,27,71,64,75,265.0,20192,20580,1833960,4902680,5917399,6743,20732,25318
Jorf Lasfar,178,131,827,1322,2006,2007,2010,2010,207,316,326,321,32,111,234,231,46,75,90,96,240.4,18390,18743,806866,2100893,2546500,4533,17025,21165
Mohammedia,151,48,450,669,2005,2005,2011,2011,244,436,376,404,24,80,206,228,20,56,67,74,180.4,13747,14011,641527,1770163,2124934,4249,14458,18713
Tangier,85,24,115,103,1995,1999,2000,1999,406,385,286,318,87,91,62,58,30,40,78,109,62.9,4763,4854,162337,510595,598323,1910,6152,7435
Asilah,74,55,384,415,2005,2006,2008,2007,125,169,142,141,12,24,31,35,13,19,17,19,59.8,4611,4700,312722,1009027,1124324,4226,14561,17151
Safi,61,51,211,343,2001,2002,2008,2009,273,378,298,299,41,186,116,117,64,88,83,84,84.2,6457,6581,212317,688587,872180,3481,14165,17808
Dakhla,60,31,545,380,2001,1996,1992,1994,364,2337,1588,1141,43,666,635,799,57,394,322,337,177.3,13355,13611,2032518,4628538,5335642,33875,82671,98771
Laayoune,57,30,138,164,1999,1999,2003,2004,498,668,577,533,59,103,190,129,27,111,122,80,58.8,4444,4529,384672,1027727,1312778,6749,21272,27319
Larache,57,28,93,128,1998,1998,2004,2004,269,603,259,264,51,168,112,88,21,132,52,40,45.6,3450,3517,186215,514942,608236,3267,9800,11975
Kenitra,35,16,16,19,1991,1994,2000,2001,522,824,693,608,104,430,647,634,17,104,275,254,37.1,2785,2838,119669,269926,321700,3419,8461,10342
Rabat,27,11,27,29,1993,1998,2013,2013,439,1374,506,460,112,286,311,222,53,175,146,93,19.5,1467,1495,44641,132234,144549,1653,5482,7456
Al Hoceima,24,12,75,98,2002,2001,2006,2006,199,409,348,343,35,66,125,116,19,42,32,32,18.1,1374,1401,99861,313454,368353,4161,16791,20883
Essaouira,16,13,43,49,1998,2001,1999,1999,354,895,442,376,66,135,203,120,121,137,204,206,17.4,1314,1339,72539,185540,226842,4534,14879,18580
Tan Tan,14,11,17,20,1993,1992,1995,1995,835,1803,651,588,80,390,431,467,33,263,243,190,26.2,1967,2004,128498,266837,311873,9178,22540,27697
El Jadida,14,14,167,271,2009,2009,2013,2013,542,951,683,686,112,184,305,315,38,61,61,64,29.5,2273,2317,121753,466440,550528,8697,40342,49011
Roches Noires,10,10,60,66,2002,2002,2004,2006,240,242,225,207,58,87,108,137,24,44,62,81,10.5,808,823,41187,136871,164039,4119,15349,18073
Tarfaya,8,7,33,44,1990,1991,1994,1995,1356,1339,1187,1351,188,194,188,190,46,80,97,105,10.3,777,791,103499,244940,296131,12937,36324,45723
Skhirat,8,8,36,52,1999,1999,2009,2009,355,2225,451,429,80,272,409,361,144,462,519,418,19.7,1485,1514,78536,223222,277383,9817,31170,39295
Sidi Ifni,7,5,8,8,2005,2004,2006,2004,605,1581,1016,919,62,376,694,922,26,279,426,277,8.6,648,661,54844,112686,121550,7835,17451,19723
Anza,7,6,20,25,1998,1995,2008,2008,521,497,323,319,54,85,251,248,23,41,21,23,8.8,668,681,27487,72311,83411,3927,17090,22350
Sale,4,4,2,2,1992,1992,1996,1992,462,630,540,463,94,120,149,168,314,384,196,220,2.2,168,171,13123,28958,34519,3281,7911,9714
Bir-Jdid,2,2,2,4,2013,2013,2016,2016,76,76,90,90,18,18,24,24,27,27,4,4,0.8,61,62,2131,4773,5974,1066,3463,4136
Ar Rommani,1,1,6,3,2010,2010,2010,2010,3582,3582,3582,3582,718,718,718,718,13,13,13,13,1.3,95,97,20071,41181,44375,20071,44661,50429
Ras El Ma,1,1,4,3,2011,2011,2011,2011,3208,3208,3208,3208,553,553,553,553,41,41,41,41,1.0,78,79,19302,39604,42675,19302,42951,48497
Souq Larb'A Al Gharb,1,1,0,0,1986,1986,1986,1986,55,55,55,55,14,14,14,14,6,6,6,6,0.0,2,2,131,291,330,131,308,366
Nador,1,1,0,0,1986,1986,1986,1986,384,384,384,384,1686,1686,1686,1686,140,140,140,140,0.9,70,71,351,1006,1445,351,1143,1644
Tetouan,1,1,1,2,1997,1997,1997,1997,248,248,248,248,59,59,59,59,19,19,19,19,0.8,58,59,4385,11121,12557,4385,11301,12727
